GRUPO ECONÔMICO,VARIÁVEL,SERVIÇO,data,valor
algar,indicador de desempenho no atendimento (ida),STFC,2017-01,100.0
embratel,indicador de desempenho no atendimento (ida),STFC,2017-01,86.694
oi,indicador de desempenho no atendimento (ida),STFC,2017-01,26.042
sercomtel,indicador de desempenho no atendimento (ida),STFC,2017-01,91.667
tim,indicador de desempenho no atendimento (ida),STFC,2017-01,31.799
vivo,indicador de desempenho no atendimento (ida),STFC,2017-01,64.326
algar,índice de reclamações,STFC,2017-01,0.256
embratel,índice de reclamações,STFC,2017-01,0.839
oi,índice de reclamações,STFC,2017-01,2.823
sercomtel,índice de reclamações,STFC,2017-01,0.107
tim,índice de reclamações,STFC,2017-01,2.343
vivo,índice de reclamações,STFC,2017-01,1.644
algar,quantidade de acessos em serviço,STFC,2017-01,987456.0
embratel,quantidade de acessos em serviço,STFC,2017-01,11122408.0
oi,quantidade de acessos em serviço,STFC,2017-01,14283978.0
sercomtel,quantidade de acessos em serviço,STFC,2017-01,262612.0
tim,quantidade de acessos em serviço,STFC,2017-01,522451.0
vivo,quantidade de acessos em serviço,STFC,2017-01,14370427.0
algar,quantidade de reabertas,STFC,2017-01,20.0
embratel,quantidade de reabertas,STFC,2017-01,442.0
oi,quantidade de reabertas,STFC,2017-01,3550.0
sercomtel,quantidade de reabertas,STFC,2017-01,1.0
tim,quantidade de reabertas,STFC,2017-01,145.0
vivo,quantidade de reabertas,STFC,2017-01,1566.0
algar,quantidade de reclamações,STFC,2017-01,253.0
embratel,quantidade de reclamações,STFC,2017-01,9332.0
oi,quantidade de reclamações,STFC,2017-01,40330.0
sercomtel,quantidade de reclamações,STFC,2017-01,28.0
tim,quantidade de reclamações,STFC,2017-01,1224.0
vivo,quantidade de reclamações,STFC,2017-01,23629.0
algar,quantidade de reclamações no período,STFC,2017-01,786.0
embratel,quantidade de reclamações no período,STFC,2017-01,26204.0
oi,quantidade de reclamações no período,STFC,2017-01,113832.0
sercomtel,quantidade de reclamações no período,STFC,2017-01,102.0
tim,quantidade de reclamações no período,STFC,2017-01,3510.0
vivo,quantidade de reclamações no período,STFC,2017-01,61481.0
algar,quantidade de respondidas,STFC,2017-01,253.0
embratel,quantidade de respondidas,STFC,2017-01,9298.0
oi,quantidade de respondidas,STFC,2017-01,40126.0
sercomtel,quantidade de respondidas,STFC,2017-01,28.0
tim,quantidade de respondidas,STFC,2017-01,1224.0
vivo,quantidade de respondidas,STFC,2017-01,23612.0
algar,quantidade de sol. respondidas em até 5 dias,STFC,2017-01,228.0
embratel,quantidade de sol. respondidas em até 5 dias,STFC,2017-01,8290.0
oi,quantidade de sol. respondidas em até 5 dias,STFC,2017-01,34591.0
sercomtel,quantidade de sol. respondidas em até 5 dias,STFC,2017-01,21.0
tim,quantidade de sol. respondidas em até 5 dias,STFC,2017-01,1014.0
vivo,quantidade de sol. respondidas em até 5 dias,STFC,2017-01,20453.0
algar,quantidade de sol. respondidas no período,STFC,2017-01,786.0
embratel,quantidade de sol. respondidas no período,STFC,2017-01,26168.0
oi,quantidade de sol. respondidas no período,STFC,2017-01,113593.0
sercomtel,quantidade de sol. respondidas no período,STFC,2017-01,102.0
tim,quantidade de sol. respondidas no período,STFC,2017-01,3509.0
vivo,quantidade de sol. respondidas no período,STFC,2017-01,61475.0
algar,taxa de reabertas,STFC,2017-01,7.905
embratel,taxa de reabertas,STFC,2017-01,4.754
oi,taxa de reabertas,STFC,2017-01,8.847
sercomtel,taxa de reabertas,STFC,2017-01,3.571
tim,taxa de reabertas,STFC,2017-01,11.846
vivo,taxa de reabertas,STFC,2017-01,6.632
algar,taxa de respondidas em 5 dias úteis,STFC,2017-01,90.119
embratel,taxa de respondidas em 5 dias úteis,STFC,2017-01,88.834
oi,taxa de respondidas em 5 dias úteis,STFC,2017-01,85.77
sercomtel,taxa de respondidas em 5 dias úteis,STFC,2017-01,75.0
tim,taxa de respondidas em 5 dias úteis,STFC,2017-01,82.843
vivo,taxa de respondidas em 5 dias úteis,STFC,2017-01,86.559
algar,taxa de respondidas no período,STFC,2017-01,100.0
embratel,taxa de respondidas no período,STFC,2017-01,99.863
oi,taxa de respondidas no período,STFC,2017-01,99.79
sercomtel,taxa de respondidas no período,STFC,2017-01,100.0
tim,taxa de respondidas no período,STFC,2017-01,99.972
vivo,taxa de respondidas no período,STFC,2017-01,99.99
algar,indicador de desempenho no atendimento (ida),STFC,2017-02,100.0
embratel,indicador de desempenho no atendimento (ida),STFC,2017-02,86.412
oi,indicador de desempenho no atendimento (ida),STFC,2017-02,29.595
sercomtel,indicador de desempenho no atendimento (ida),STFC,2017-02,70.626
tim,indicador de desempenho no atendimento (ida),STFC,2017-02,40.078
vivo,indicador de desempenho no atendimento (ida),STFC,2017-02,72.12
algar,índice de reclamações,STFC,2017-02,0.281
embratel,índice de reclamações,STFC,2017-02,0.666
oi,índice de reclamações,STFC,2017-02,2.451
sercomtel,índice de reclamações,STFC,2017-02,0.088
tim,índice de reclamações,STFC,2017-02,1.976
vivo,índice de reclamações,STFC,2017-02,1.364
algar,quantidade de acessos em serviço,STFC,2017-02,993312.0
embratel,quantidade de acessos em serviço,STFC,2017-02,11021311.0
oi,quantidade de acessos em serviço,STFC,2017-02,14226796.0
sercomtel,quantidade de acessos em serviço,STFC,2017-02,262632.0
tim,quantidade de acessos em serviço,STFC,2017-02,523660.0
vivo,quantidade de acessos em serviço,STFC,2017-02,14272255.0
algar,quantidade de reabertas,STFC,2017-02,12.0
embratel,quantidade de reabertas,STFC,2017-02,523.0
oi,quantidade de reabertas,STFC,2017-02,3987.0
sercomtel,quantidade de reabertas,STFC,2017-02,5.0
tim,quantidade de reabertas,STFC,2017-02,143.0
vivo,quantidade de reabertas,STFC,2017-02,1233.0
algar,quantidade de reclamações,STFC,2017-02,279.0
embratel,quantidade de reclamações,STFC,2017-02,7341.0
oi,quantidade de reclamações,STFC,2017-02,34875.0
sercomtel,quantidade de reclamações,STFC,2017-02,23.0
tim,quantidade de reclamações,STFC,2017-02,1035.0
vivo,quantidade de reclamações,STFC,2017-02,19463.0
algar,quantidade de reclamações no período,STFC,2017-02,780.0
embratel,quantidade de reclamações no período,STFC,2017-02,26382.0
oi,quantidade de reclamações no período,STFC,2017-02,118661.0
sercomtel,quantidade de reclamações no período,STFC,2017-02,104.0
tim,quantidade de reclamações no período,STFC,2017-02,3603.0
vivo,quantidade de reclamações no período,STFC,2017-02,64953.0
algar,quantidade de respondidas,STFC,2017-02,279.0
embratel,quantidade de respondidas,STFC,2017-02,7333.0
oi,quantidade de respondidas,STFC,2017-02,34824.0
sercomtel,quantidade de respondidas,STFC,2017-02,21.0
tim,quantidade de respondidas,STFC,2017-02,1034.0
vivo,quantidade de respondidas,STFC,2017-02,19450.0
algar,quantidade de sol. respondidas em até 5 dias,STFC,2017-02,257.0
embratel,quantidade de sol. respondidas em até 5 dias,STFC,2017-02,6221.0
oi,quantidade de sol. respondidas em até 5 dias,STFC,2017-02,29481.0
sercomtel,quantidade de sol. respondidas em até 5 dias,STFC,2017-02,13.0
tim,quantidade de sol. respondidas em até 5 dias,STFC,2017-02,837.0
vivo,quantidade de sol. respondidas em até 5 dias,STFC,2017-02,16863.0
algar,quantidade de sol. respondidas no período,STFC,2017-02,780.0
embratel,quantidade de sol. respondidas no período,STFC,2017-02,26342.0
oi,quantidade de sol. respondidas no período,STFC,2017-02,118403.0
sercomtel,quantidade de sol. respondidas no período,STFC,2017-02,104.0
tim,quantidade de sol. respondidas no período,STFC,2017-02,3602.0
vivo,quantidade de sol. respondidas no período,STFC,2017-02,64927.0
algar,taxa de reabertas,STFC,2017-02,4.301
embratel,taxa de reabertas,STFC,2017-02,7.132
oi,taxa de reabertas,STFC,2017-02,11.449
sercomtel,taxa de reabertas,STFC,2017-02,23.81
tim,taxa de reabertas,STFC,2017-02,13.83
vivo,taxa de reabertas,STFC,2017-02,6.339
algar,taxa de respondidas em 5 dias úteis,STFC,2017-02,92.115
embratel,taxa de respondidas em 5 dias úteis,STFC,2017-02,84.743
oi,taxa de respondidas em 5 dias úteis,STFC,2017-02,84.533
sercomtel,taxa de respondidas em 5 dias úteis,STFC,2017-02,56.522
tim,taxa de respondidas em 5 dias úteis,STFC,2017-02,80.87
vivo,taxa de respondidas em 5 dias úteis,STFC,2017-02,86.641
algar,taxa de respondidas no período,STFC,2017-02,100.0
embratel,taxa de respondidas no período,STFC,2017-02,99.848
oi,taxa de respondidas no período,STFC,2017-02,99.783
sercomtel,taxa de respondidas no período,STFC,2017-02,100.0
tim,taxa de respondidas no período,STFC,2017-02,99.972
vivo,taxa de respondidas no período,STFC,2017-02,99.96
algar,indicador de desempenho no atendimento (ida),STFC,2017-03,100.0
embratel,indicador de desempenho no atendimento (ida),STFC,2017-03,86.289
oi,indicador de desempenho no atendimento (ida),STFC,2017-03,17.23
sercomtel,indicador de desempenho no atendimento (ida),STFC,2017-03,70.971
tim,indicador de desempenho no atendimento (ida),STFC,2017-03,31.813
vivo,indicador de desempenho no atendimento (ida),STFC,2017-03,66.665
algar,índice de reclamações,STFC,2017-03,0.308
embratel,índice de reclamações,STFC,2017-03,0.854
oi,índice de reclamações,STFC,2017-03,2.873
sercomtel,índice de reclamações,STFC,2017-03,0.247
tim,índice de reclamações,STFC,2017-03,2.231
vivo,índice de reclamações,STFC,2017-03,1.56
algar,quantidade de acessos em serviço,STFC,2017-03,998825.0
embratel,quantidade de acessos em serviço,STFC,2017-03,10969040.0
oi,quantidade de acessos em serviço,STFC,2017-03,14151416.0
sercomtel,quantidade de acessos em serviço,STFC,2017-03,263599.0
tim,quantidade de acessos em serviço,STFC,2017-03,525247.0
vivo,quantidade de acessos em serviço,STFC,2017-03,14367367.0
algar,quantidade de reabertas,STFC,2017-03,12.0
embratel,quantidade de reabertas,STFC,2017-03,601.0
oi,quantidade de reabertas,STFC,2017-03,5096.0
sercomtel,quantidade de reabertas,STFC,2017-03,6.0
tim,quantidade de reabertas,STFC,2017-03,188.0
vivo,quantidade de reabertas,STFC,2017-03,1477.0
algar,quantidade de reclamações,STFC,2017-03,308.0
embratel,quantidade de reclamações,STFC,2017-03,9363.0
oi,quantidade de reclamações,STFC,2017-03,40654.0
sercomtel,quantidade de reclamações,STFC,2017-03,65.0
tim,quantidade de reclamações,STFC,2017-03,1172.0
vivo,quantidade de reclamações,STFC,2017-03,22414.0
algar,quantidade de reclamações no período,STFC,2017-03,806.0
embratel,quantidade de reclamações no período,STFC,2017-03,25038.0
oi,quantidade de reclamações no período,STFC,2017-03,114008.0
sercomtel,quantidade de reclamações no período,STFC,2017-03,88.0
tim,quantidade de reclamações no período,STFC,2017-03,3442.0
vivo,quantidade de reclamações no período,STFC,2017-03,63228.0
algar,quantidade de respondidas,STFC,2017-03,308.0
embratel,quantidade de respondidas,STFC,2017-03,9270.0
oi,quantidade de respondidas,STFC,2017-03,40500.0
sercomtel,quantidade de respondidas,STFC,2017-03,63.0
tim,quantidade de respondidas,STFC,2017-03,1171.0
vivo,quantidade de respondidas,STFC,2017-03,22404.0
algar,quantidade de sol. respondidas em até 5 dias,STFC,2017-03,284.0
embratel,quantidade de sol. respondidas em até 5 dias,STFC,2017-03,8176.0
oi,quantidade de sol. respondidas em até 5 dias,STFC,2017-03,34427.0
sercomtel,quantidade de sol. respondidas em até 5 dias,STFC,2017-03,20.0
tim,quantidade de sol. respondidas em até 5 dias,STFC,2017-03,955.0
vivo,quantidade de sol. respondidas em até 5 dias,STFC,2017-03,19442.0
algar,quantidade de sol. respondidas no período,STFC,2017-03,806.0
embratel,quantidade de sol. respondidas no período,STFC,2017-03,25030.0
oi,quantidade de sol. respondidas no período,STFC,2017-03,113796.0
sercomtel,quantidade de sol. respondidas no período,STFC,2017-03,88.0
tim,quantidade de sol. respondidas no período,STFC,2017-03,3442.0
vivo,quantidade de sol. respondidas no período,STFC,2017-03,63204.0
algar,taxa de reabertas,STFC,2017-03,3.896
embratel,taxa de reabertas,STFC,2017-03,6.483
oi,taxa de reabertas,STFC,2017-03,12.583
sercomtel,taxa de reabertas,STFC,2017-03,9.524
tim,taxa de reabertas,STFC,2017-03,16.055
vivo,taxa de reabertas,STFC,2017-03,6.593
algar,taxa de respondidas em 5 dias úteis,STFC,2017-03,92.208
embratel,taxa de respondidas em 5 dias úteis,STFC,2017-03,87.322
oi,taxa de respondidas em 5 dias úteis,STFC,2017-03,84.683
sercomtel,taxa de respondidas em 5 dias úteis,STFC,2017-03,30.769
tim,taxa de respondidas em 5 dias úteis,STFC,2017-03,81.485
vivo,taxa de respondidas em 5 dias úteis,STFC,2017-03,86.74
algar,taxa de respondidas no período,STFC,2017-03,100.0
embratel,taxa de respondidas no período,STFC,2017-03,99.968
oi,taxa de respondidas no período,STFC,2017-03,99.814
sercomtel,taxa de respondidas no período,STFC,2017-03,100.0
tim,taxa de respondidas no período,STFC,2017-03,100.0
vivo,taxa de respondidas no período,STFC,2017-03,99.962
algar,indicador de desempenho no atendimento (ida),STFC,2017-04,100.0
embratel,indicador de desempenho no atendimento (ida),STFC,2017-04,92.607
oi,indicador de desempenho no atendimento (ida),STFC,2017-04,42.147
sercomtel,indicador de desempenho no atendimento (ida),STFC,2017-04,76.804
tim,indicador de desempenho no atendimento (ida),STFC,2017-04,46.424
vivo,indicador de desempenho no atendimento (ida),STFC,2017-04,78.276
algar,índice de reclamações,STFC,2017-04,0.264
embratel,índice de reclamações,STFC,2017-04,0.626
oi,índice de reclamações,STFC,2017-04,2.147
sercomtel,índice de reclamações,STFC,2017-04,0.133
tim,índice de reclamações,STFC,2017-04,1.769
vivo,índice de reclamações,STFC,2017-04,1.142
algar,quantidade de acessos em serviço,STFC,2017-04,1018214.0
embratel,quantidade de acessos em serviço,STFC,2017-04,10920660.0
oi,quantidade de acessos em serviço,STFC,2017-04,14099843.0
sercomtel,quantidade de acessos em serviço,STFC,2017-04,264085.0
tim,quantidade de acessos em serviço,STFC,2017-04,529160.0
vivo,quantidade de acessos em serviço,STFC,2017-04,14350549.0
algar,quantidade de reabertas,STFC,2017-04,13.0
embratel,quantidade de reabertas,STFC,2017-04,339.0
oi,quantidade de reabertas,STFC,2017-04,3966.0
sercomtel,quantidade de reabertas,STFC,2017-04,7.0
tim,quantidade de reabertas,STFC,2017-04,134.0
