GRUPO ECONÔMICO,VARIÁVEL,SERVIÇO,data,valor
claro,indicador de desempenho no atendimento (ida),SMP,2013-01,83.04
ctbc celular,indicador de desempenho no atendimento (ida),SMP,2013-01,96.05
oi celular,indicador de desempenho no atendimento (ida),SMP,2013-01,63.76
sercomtel celular,indicador de desempenho no atendimento (ida),SMP,2013-01,100.0
tim gsm,indicador de desempenho no atendimento (ida),SMP,2013-01,91.7
vivo,indicador de desempenho no atendimento (ida),SMP,2013-01,95.05
claro,quantidade de reclamações,SMP,2013-01,27953.0
ctbc celular,quantidade de reclamações,SMP,2013-01,214.0
oi celular,quantidade de reclamações,SMP,2013-01,33369.0
sercomtel celular,quantidade de reclamações,SMP,2013-01,5.0
tim gsm,quantidade de reclamações,SMP,2013-01,25841.0
vivo,quantidade de reclamações,SMP,2013-01,22687.0
claro,quantidade de acessos em serviço,SMP,2013-01,65555652.0
ctbc celular,quantidade de acessos em serviço,SMP,2013-01,766726.0
oi celular,quantidade de acessos em serviço,SMP,2013-01,49438070.0
sercomtel celular,quantidade de acessos em serviço,SMP,2013-01,68857.0
tim gsm,quantidade de acessos em serviço,SMP,2013-01,70597829.0
vivo,quantidade de acessos em serviço,SMP,2013-01,75806130.0
claro,índice de reclamações,SMP,2013-01,0.426
ctbc celular,índice de reclamações,SMP,2013-01,0.279
oi celular,índice de reclamações,SMP,2013-01,0.675
sercomtel celular,índice de reclamações,SMP,2013-01,0.073
tim gsm,índice de reclamações,SMP,2013-01,0.366
vivo,índice de reclamações,SMP,2013-01,0.299
claro,taxa de resolvidas em 5 dias úteis,SMP,2013-01,85.941
ctbc celular,taxa de resolvidas em 5 dias úteis,SMP,2013-01,93.458
oi celular,taxa de resolvidas em 5 dias úteis,SMP,2013-01,83.709
sercomtel celular,taxa de resolvidas em 5 dias úteis,SMP,2013-01,100.0
tim gsm,taxa de resolvidas em 5 dias úteis,SMP,2013-01,86.785
vivo,taxa de resolvidas em 5 dias úteis,SMP,2013-01,87.433
claro,taxa de reabertas,SMP,2013-01,9.056
ctbc celular,taxa de reabertas,SMP,2013-01,5.634
oi celular,taxa de reabertas,SMP,2013-01,11.296
sercomtel celular,taxa de reabertas,SMP,2013-01,0.0
tim gsm,taxa de reabertas,SMP,2013-01,6.897
vivo,taxa de reabertas,SMP,2013-01,3.714
tim gsm,taxa de resolvidas no período,SMP,2013-01,99.241
claro,taxa de resolvidas no período,SMP,2013-01,99.261
ctbc celular,taxa de resolvidas no período,SMP,2013-01,100.0
oi celular,taxa de resolvidas no período,SMP,2013-01,99.61
sercomtel celular,taxa de resolvidas no período,SMP,2013-01,100.0
vivo,taxa de resolvidas no período,SMP,2013-01,99.339
claro,indicador de desempenho no atendimento (ida),SMP,2013-02,84.593
ctbc celular,indicador de desempenho no atendimento (ida),SMP,2013-02,96.2
oi celular,indicador de desempenho no atendimento (ida),SMP,2013-02,76.955
sercomtel celular,indicador de desempenho no atendimento (ida),SMP,2013-02,100.0
tim gsm,indicador de desempenho no atendimento (ida),SMP,2013-02,92.5
vivo,indicador de desempenho no atendimento (ida),SMP,2013-02,93.901
claro,quantidade de reclamações,SMP,2013-02,26857.0
ctbc celular,quantidade de reclamações,SMP,2013-02,221.0
oi celular,quantidade de reclamações,SMP,2013-02,27084.0
sercomtel celular,quantidade de reclamações,SMP,2013-02,1.0
tim gsm,quantidade de reclamações,SMP,2013-02,24734.0
vivo,quantidade de reclamações,SMP,2013-02,20798.0
claro,quantidade de acessos em serviço,SMP,2013-02,66070644.0
ctbc celular,quantidade de acessos em serviço,SMP,2013-02,801896.0
oi celular,quantidade de acessos em serviço,SMP,2013-02,49520667.0
sercomtel celular,quantidade de acessos em serviço,SMP,2013-02,69402.0
tim gsm,quantidade de acessos em serviço,SMP,2013-02,70696608.0
vivo,quantidade de acessos em serviço,SMP,2013-02,75838038.0
claro,índice de reclamações,SMP,2013-02,0.406
ctbc celular,índice de reclamações,SMP,2013-02,0.276
oi celular,índice de reclamações,SMP,2013-02,0.547
sercomtel celular,índice de reclamações,SMP,2013-02,0.014
tim gsm,índice de reclamações,SMP,2013-02,0.35
vivo,índice de reclamações,SMP,2013-02,0.274
claro,taxa de resolvidas em 5 dias úteis,SMP,2013-02,84.678
ctbc celular,taxa de resolvidas em 5 dias úteis,SMP,2013-02,88.688
oi celular,taxa de resolvidas em 5 dias úteis,SMP,2013-02,85.353
sercomtel celular,taxa de resolvidas em 5 dias úteis,SMP,2013-02,100.0
tim gsm,taxa de resolvidas em 5 dias úteis,SMP,2013-02,86.476
vivo,taxa de resolvidas em 5 dias úteis,SMP,2013-02,85.662
claro,taxa de reabertas,SMP,2013-02,7.825
ctbc celular,taxa de reabertas,SMP,2013-02,6.818
oi celular,taxa de reabertas,SMP,2013-02,9.113
sercomtel celular,taxa de reabertas,SMP,2013-02,0.0
tim gsm,taxa de reabertas,SMP,2013-02,7.519
vivo,taxa de reabertas,SMP,2013-02,4.874
tim gsm,taxa de resolvidas no período,SMP,2013-02,99.28
claro,taxa de resolvidas no período,SMP,2013-02,99.137
ctbc celular,taxa de resolvidas no período,SMP,2013-02,100.0
oi celular,taxa de resolvidas no período,SMP,2013-02,99.622
sercomtel celular,taxa de resolvidas no período,SMP,2013-02,100.0
vivo,taxa de resolvidas no período,SMP,2013-02,98.801
claro,indicador de desempenho no atendimento (ida),SMP,2013-03,76.466
ctbc celular,indicador de desempenho no atendimento (ida),SMP,2013-03,93.25
oi celular,indicador de desempenho no atendimento (ida),SMP,2013-03,66.428
sercomtel celular,indicador de desempenho no atendimento (ida),SMP,2013-03,100.0
tim gsm,indicador de desempenho no atendimento (ida),SMP,2013-03,90.55
vivo,indicador de desempenho no atendimento (ida),SMP,2013-03,95.3
claro,quantidade de reclamações,SMP,2013-03,30485.0
ctbc celular,quantidade de reclamações,SMP,2013-03,281.0
oi celular,quantidade de reclamações,SMP,2013-03,30299.0
sercomtel celular,quantidade de reclamações,SMP,2013-03,2.0
tim gsm,quantidade de reclamações,SMP,2013-03,27731.0
vivo,quantidade de reclamações,SMP,2013-03,22356.0
claro,quantidade de acessos em serviço,SMP,2013-03,66308256.0
ctbc celular,quantidade de acessos em serviço,SMP,2013-03,839640.0
oi celular,quantidade de acessos em serviço,SMP,2013-03,49493752.0
sercomtel celular,quantidade de acessos em serviço,SMP,2013-03,69220.0
tim gsm,quantidade de acessos em serviço,SMP,2013-03,71232161.0
vivo,quantidade de acessos em serviço,SMP,2013-03,75987544.0
claro,índice de reclamações,SMP,2013-03,0.46
ctbc celular,índice de reclamações,SMP,2013-03,0.335
oi celular,índice de reclamações,SMP,2013-03,0.612
sercomtel celular,índice de reclamações,SMP,2013-03,0.029
tim gsm,índice de reclamações,SMP,2013-03,0.389
