GRUPO ECONÔMICO,VARIÁVEL,SERVIÇO,data,valor
claro tv,indicador de desempenho no atendimento (ida),SEAC,2013-01,96.324
ctbc tv,indicador de desempenho no atendimento (ida),SEAC,2013-01,91.4
gvt,indicador de desempenho no atendimento (ida),SEAC,2013-01,42.037
net,indicador de desempenho no atendimento (ida),SEAC,2013-01,98.611
oi tv,indicador de desempenho no atendimento (ida),SEAC,2013-01,56.528
sky,indicador de desempenho no atendimento (ida),SEAC,2013-01,75.938
telefônica vivo,indicador de desempenho no atendimento (ida),SEAC,2013-01,80.97
viacabo,indicador de desempenho no atendimento (ida),SEAC,2013-01,72.027
claro tv,quantidade de reclamações,SEAC,2013-01,2856.0
ctbc tv,quantidade de reclamações,SEAC,2013-01,140.0
gvt,quantidade de reclamações,SEAC,2013-01,1995.0
net,quantidade de reclamações,SEAC,2013-01,4017.0
oi tv,quantidade de reclamações,SEAC,2013-01,2767.0
sky,quantidade de reclamações,SEAC,2013-01,9163.0
telefônica vivo,quantidade de reclamações,SEAC,2013-01,900.0
viacabo,quantidade de reclamações,SEAC,2013-01,35.0
claro tv,número de assinantes,SEAC,2013-01,3212857.0
ctbc tv,número de assinantes,SEAC,2013-01,115798.0
gvt,número de assinantes,SEAC,2013-01,451605.0
net,número de assinantes,SEAC,2013-01,5426127.0
oi tv,número de assinantes,SEAC,2013-01,792107.0
sky,número de assinantes,SEAC,2013-01,5144946.0
telefônica vivo,número de assinantes,SEAC,2013-01,586152.0
viacabo,número de assinantes,SEAC,2013-01,107935.0
claro tv,índice de reclamações,SEAC,2013-01,0.889
ctbc tv,índice de reclamações,SEAC,2013-01,1.209
gvt,índice de reclamações,SEAC,2013-01,4.418
net,índice de reclamações,SEAC,2013-01,0.74
oi tv,índice de reclamações,SEAC,2013-01,3.493
sky,índice de reclamações,SEAC,2013-01,1.781
telefônica vivo,índice de reclamações,SEAC,2013-01,1.535
viacabo,índice de reclamações,SEAC,2013-01,0.324
claro tv,taxa de resolvidas em 5 dias úteis,SEAC,2013-01,88.761
ctbc tv,taxa de resolvidas em 5 dias úteis,SEAC,2013-01,92.857
gvt,taxa de resolvidas em 5 dias úteis,SEAC,2013-01,87.769
net,taxa de resolvidas em 5 dias úteis,SEAC,2013-01,88.499
oi tv,taxa de resolvidas em 5 dias úteis,SEAC,2013-01,86.592
sky,taxa de resolvidas em 5 dias úteis,SEAC,2013-01,86.871
telefônica vivo,taxa de resolvidas em 5 dias úteis,SEAC,2013-01,83.778
viacabo,taxa de resolvidas em 5 dias úteis,SEAC,2013-01,65.714
claro tv,taxa de reabertas,SEAC,2013-01,6.406
ctbc tv,taxa de reabertas,SEAC,2013-01,5.0
gvt,taxa de reabertas,SEAC,2013-01,7.402
net,taxa de reabertas,SEAC,2013-01,6.757
oi tv,taxa de reabertas,SEAC,2013-01,6.65
sky,taxa de reabertas,SEAC,2013-01,10.659
telefônica vivo,taxa de reabertas,SEAC,2013-01,6.286
viacabo,taxa de reabertas,SEAC,2013-01,26.471
claro tv,taxa de resolvidas no período,SEAC,2013-01,99.577
ctbc tv,taxa de resolvidas no período,SEAC,2013-01,100.0
gvt,taxa de resolvidas no período,SEAC,2013-01,100.0
