GRUPO ECONÔMICO,VARIÁVEL,SERVIÇO,data,valor
claro tv,indicador de desempenho no atendimento (ida),SEAC,2014-01,82.279
ctbc tv,indicador de desempenho no atendimento (ida),SEAC,2014-01,97.312
gvt,indicador de desempenho no atendimento (ida),SEAC,2014-01,65.987
net,indicador de desempenho no atendimento (ida),SEAC,2014-01,95.636
oi tv,indicador de desempenho no atendimento (ida),SEAC,2014-01,55.829
sky,indicador de desempenho no atendimento (ida),SEAC,2014-01,78.901
telefônica vivo,indicador de desempenho no atendimento (ida),SEAC,2014-01,59.289
viacabo,indicador de desempenho no atendimento (ida),SEAC,2014-01,16.478
claro tv,quantidade de reclamações,SEAC,2014-01,3739.0
ctbc tv,quantidade de reclamações,SEAC,2014-01,112.0
gvt,quantidade de reclamações,SEAC,2014-01,1766.0
net,quantidade de reclamações,SEAC,2014-01,5699.0
oi tv,quantidade de reclamações,SEAC,2014-01,2929.0
sky,quantidade de reclamações,SEAC,2014-01,8360.0
telefônica vivo,quantidade de reclamações,SEAC,2014-01,1752.0
viacabo,quantidade de reclamações,SEAC,2014-01,86.0
claro tv,quantidade de acessos em serviço,SEAC,2014-01,3628564.0
ctbc tv,quantidade de acessos em serviço,SEAC,2014-01,135802.0
gvt,quantidade de acessos em serviço,SEAC,2014-01,701546.0
net,quantidade de acessos em serviço,SEAC,2014-01,6104077.0
oi tv,quantidade de acessos em serviço,SEAC,2014-01,831833.0
sky,quantidade de acessos em serviço,SEAC,2014-01,5417101.0
telefônica vivo,quantidade de acessos em serviço,SEAC,2014-01,591509.0
viacabo,quantidade de acessos em serviço,SEAC,2014-01,158082.0
claro tv,índice de reclamações,SEAC,2014-01,1.03
ctbc tv,índice de reclamações,SEAC,2014-01,0.825
gvt,índice de reclamações,SEAC,2014-01,2.517
net,índice de reclamações,SEAC,2014-01,0.934
oi tv,índice de reclamações,SEAC,2014-01,3.521
sky,índice de reclamações,SEAC,2014-01,1.543
telefônica vivo,índice de reclamações,SEAC,2014-01,2.962
viacabo,índice de reclamações,SEAC,2014-01,0.544
claro tv,quantidade de resolvidas,SEAC,2014-01,3246.0
ctbc tv,quantidade de resolvidas,SEAC,2014-01,112.0
gvt,quantidade de resolvidas,SEAC,2014-01,1755.0
net,quantidade de resolvidas,SEAC,2014-01,5528.0
oi tv,quantidade de resolvidas,SEAC,2014-01,2731.0
sky,quantidade de resolvidas,SEAC,2014-01,7595.0
telefônica vivo,quantidade de resolvidas,SEAC,2014-01,1750.0
viacabo,quantidade de resolvidas,SEAC,2014-01,43.0
claro tv,quantidade de reabertas,SEAC,2014-01,302.0
ctbc tv,quantidade de reabertas,SEAC,2014-01,5.0
gvt,quantidade de reabertas,SEAC,2014-01,101.0
net,quantidade de reabertas,SEAC,2014-01,357.0
oi tv,quantidade de reabertas,SEAC,2014-01,160.0
sky,quantidade de reabertas,SEAC,2014-01,894.0
telefônica vivo,quantidade de reabertas,SEAC,2014-01,144.0
viacabo,quantidade de reabertas,SEAC,2014-01,5.0
claro tv,taxa de reabertas,SEAC,2014-01,9.304
ctbc tv,taxa de reabertas,SEAC,2014-01,4.464
gvt,taxa de reabertas,SEAC,2014-01,5.755
net,taxa de reabertas,SEAC,2014-01,6.458
oi tv,taxa de reabertas,SEAC,2014-01,5.859
sky,taxa de reabertas,SEAC,2014-01,11.771
telefônica vivo,taxa de reabertas,SEAC,2014-01,8.229
viacabo,taxa de reabertas,SEAC,2014-01,11.628
claro tv,quantidade de sol. resolvidas em até 5 dias,SEAC,2014-01,3060.0
ctbc tv,quantidade de sol. resolvidas em até 5 dias,SEAC,2014-01,101.0
gvt,quantidade de sol. resolvidas em até 5 dias,SEAC,2014-01,1486.0
net,quantidade de sol. resolvidas em até 5 dias,SEAC,2014-01,4973.0
oi tv,quantidade de sol. resolvidas em até 5 dias,SEAC,2014-01,2559.0
sky,quantidade de sol. resolvidas em até 5 dias,SEAC,2014-01,7277.0
telefônica vivo,quantidade de sol. resolvidas em até 5 dias,SEAC,2014-01,1494.0
viacabo,quantidade de sol. resolvidas em até 5 dias,SEAC,2014-01,19.0
claro tv,taxa de resolvidas em 5 dias úteis,SEAC,2014-01,81.84
ctbc tv,taxa de resolvidas em 5 dias úteis,SEAC,2014-01,90.179
gvt,taxa de resolvidas em 5 dias úteis,SEAC,2014-01,84.145
net,taxa de resolvidas em 5 dias úteis,SEAC,2014-01,87.261
oi tv,taxa de resolvidas em 5 dias úteis,SEAC,2014-01,87.368
sky,taxa de resolvidas em 5 dias úteis,SEAC,2014-01,87.045
telefônica vivo,taxa de resolvidas em 5 dias úteis,SEAC,2014-01,85.274
viacabo,taxa de resolvidas em 5 dias úteis,SEAC,2014-01,22.093
claro tv,quantidade de reclamações no período,SEAC,2014-01,10289.0
ctbc tv,quantidade de reclamações no período,SEAC,2014-01,309.0
gvt,quantidade de reclamações no período,SEAC,2014-01,4809.0
net,quantidade de reclamações no período,SEAC,2014-01,15563.0
oi tv,quantidade de reclamações no período,SEAC,2014-01,7931.0
sky,quantidade de reclamações no período,SEAC,2014-01,21922.0
telefônica vivo,quantidade de reclamações no período,SEAC,2014-01,3835.0
viacabo,quantidade de reclamações no período,SEAC,2014-01,350.0
claro tv,quantidade de sol. resolvidas no período,SEAC,2014-01,10210.0
ctbc tv,quantidade de sol. resolvidas no período,SEAC,2014-01,309.0
gvt,quantidade de sol. resolvidas no período,SEAC,2014-01,4804.0
net,quantidade de sol. resolvidas no período,SEAC,2014-01,15473.0
oi tv,quantidade de sol. resolvidas no período,SEAC,2014-01,7891.0
sky,quantidade de sol. resolvidas no período,SEAC,2014-01,21914.0
telefônica vivo,quantidade de sol. resolvidas no período,SEAC,2014-01,3835.0
viacabo,quantidade de sol. resolvidas no período,SEAC,2014-01,262.0
claro tv,taxa de resolvidas no período,SEAC,2014-01,99.232
ctbc tv,taxa de resolvidas no período,SEAC,2014-01,100.0
gvt,taxa de resolvidas no período,SEAC,2014-01,99.896
net,taxa de resolvidas no período,SEAC,2014-01,99.422
oi tv,taxa de resolvidas no período,SEAC,2014-01,99.496
sky,taxa de resolvidas no período,SEAC,2014-01,99.964
telefônica vivo,taxa de resolvidas no período,SEAC,2014-01,100.0
viacabo,taxa de resolvidas no período,SEAC,2014-01,74.857
claro tv,indicador de desempenho no atendimento (ida),SEAC,2014-02,84.6818092337451
ctbc tv,indicador de desempenho no atendimento (ida),SEAC,2014-02,100.0
gvt,indicador de desempenho no atendimento (ida),SEAC,2014-02,69.8686840374524
net,indicador de desempenho no atendimento (ida),SEAC,2014-02,96.9597248486856
oi tv,indicador de desempenho no atendimento (ida),SEAC,2014-02,70.9672966224991
sky,indicador de desempenho no atendimento (ida),SEAC,2014-02,82.3640626608836
telefônica vivo,indicador de desempenho no atendimento (ida),SEAC,2014-02,63.5222693104767
viacabo,indicador de desempenho no atendimento (ida),SEAC,2014-02,35.2221097406299
claro tv,quantidade de reclamações,SEAC,2014-02,3514.0
ctbc tv,quantidade de reclamações,SEAC,2014-02,79.0
gvt,quantidade de reclamações,SEAC,2014-02,1538.0
net,quantidade de reclamações,SEAC,2014-02,5186.0
oi tv,quantidade de reclamações,SEAC,2014-02,2098.0
sky,quantidade de reclamações,SEAC,2014-02,7221.0
telefônica vivo,quantidade de reclamações,SEAC,2014-02,1581.0
viacabo,quantidade de reclamações,SEAC,2014-02,53.0
claro tv,quantidade de acessos em serviço,SEAC,2014-02,3649996.0
ctbc tv,quantidade de acessos em serviço,SEAC,2014-02,135121.0
gvt,quantidade de acessos em serviço,SEAC,2014-02,717941.0
net,quantidade de acessos em serviço,SEAC,2014-02,6118323.0
oi tv,quantidade de acessos em serviço,SEAC,2014-02,826920.0
sky,quantidade de acessos em serviço,SEAC,2014-02,5441508.0
telefônica vivo,quantidade de acessos em serviço,SEAC,2014-02,594374.0
viacabo,quantidade de acessos em serviço,SEAC,2014-02,158346.0
claro tv,índice de reclamações,SEAC,2014-02,0.962740781085788
ctbc tv,índice de reclamações,SEAC,2014-02,0.584661155556871
gvt,índice de reclamações,SEAC,2014-02,2.14223731476542
net,índice de reclamações,SEAC,2014-02,0.847617884835436
oi tv,índice de reclamações,SEAC,2014-02,2.53712571953756
sky,índice de reclamações,SEAC,2014-02,1.32702184762018
telefônica vivo,índice de reclamações,SEAC,2014-02,2.6599413837079
viacabo,índice de reclamações,SEAC,2014-02,0.334710065300039
claro tv,quantidade de resolvidas,SEAC,2014-02,3516.0
ctbc tv,quantidade de resolvidas,SEAC,2014-02,79.0
gvt,quantidade de resolvidas,SEAC,2014-02,1470.0
net,quantidade de resolvidas,SEAC,2014-02,5074.0
oi tv,quantidade de resolvidas,SEAC,2014-02,1974.0
sky,quantidade de resolvidas,SEAC,2014-02,7202.0
telefônica vivo,quantidade de resolvidas,SEAC,2014-02,1585.0
viacabo,quantidade de resolvidas,SEAC,2014-02,49.0
claro tv,quantidade de reabertas,SEAC,2014-02,262.0
ctbc tv,quantidade de reabertas,SEAC,2014-02,5.0
gvt,quantidade de reabertas,SEAC,2014-02,67.0
net,quantidade de reabertas,SEAC,2014-02,333.0
oi tv,quantidade de reabertas,SEAC,2014-02,117.0
sky,quantidade de reabertas,SEAC,2014-02,832.0
telefônica vivo,quantidade de reabertas,SEAC,2014-02,120.0
viacabo,quantidade de reabertas,SEAC,2014-02,11.0
claro tv,taxa de reabertas,SEAC,2014-02,8.25082508250825
ctbc tv,taxa de reabertas,SEAC,2014-02,6.32911392405063
gvt,taxa de reabertas,SEAC,2014-02,4.5578231292517
net,taxa de reabertas,SEAC,2014-02,6.56286953094206
oi tv,taxa de reabertas,SEAC,2014-02,5.92705167173252
sky,taxa de reabertas,SEAC,2014-02,11.5523465703971
