GRUPO ECONÔMICO,VARIÁVEL,SERVIÇO,data,valor
ctbc telecom,indicador de desempenho no atendimento (ida),STFC,2014-01,93.243
embratel,indicador de desempenho no atendimento (ida),STFC,2014-01,72.67
gvt,indicador de desempenho no atendimento (ida),STFC,2014-01,75.806
oi,indicador de desempenho no atendimento (ida),STFC,2014-01,31.517
sercomtel,indicador de desempenho no atendimento (ida),STFC,2014-01,100.0
telefônica,indicador de desempenho no atendimento (ida),STFC,2014-01,65.333
tim/intelig,indicador de desempenho no atendimento (ida),STFC,2014-01,88.778
ctbc telecom,quantidade de reclamações,STFC,2014-01,222.0
embratel,quantidade de reclamações,STFC,2014-01,8900.0
gvt,quantidade de reclamações,STFC,2014-01,5133.0
oi,quantidade de reclamações,STFC,2014-01,41734.0
sercomtel,quantidade de reclamações,STFC,2014-01,38.0
telefônica,quantidade de reclamações,STFC,2014-01,16431.0
tim/intelig,quantidade de reclamações,STFC,2014-01,509.0
ctbc telecom,quantidade de acessos em serviço,STFC,2014-01,885145.0
embratel,quantidade de acessos em serviço,STFC,2014-01,10790530.0
gvt,quantidade de acessos em serviço,STFC,2014-01,4170238.0
oi,quantidade de acessos em serviço,STFC,2014-01,17381647.0
sercomtel,quantidade de acessos em serviço,STFC,2014-01,208609.0
telefônica,quantidade de acessos em serviço,STFC,2014-01,10221369.0
tim/intelig,quantidade de acessos em serviço,STFC,2014-01,665946.0
ctbc telecom,índice de reclamações,STFC,2014-01,0.251
embratel,índice de reclamações,STFC,2014-01,0.825
gvt,índice de reclamações,STFC,2014-01,1.231
oi,índice de reclamações,STFC,2014-01,2.401
sercomtel,índice de reclamações,STFC,2014-01,0.182
telefônica,índice de reclamações,STFC,2014-01,1.608
tim/intelig,índice de reclamações,STFC,2014-01,0.764
ctbc telecom,quantidade de resolvidas,STFC,2014-01,222.0
embratel,quantidade de resolvidas,STFC,2014-01,8175.0
gvt,quantidade de resolvidas,STFC,2014-01,5059.0
oi,quantidade de resolvidas,STFC,2014-01,35116.0
sercomtel,quantidade de resolvidas,STFC,2014-01,37.0
telefônica,quantidade de resolvidas,STFC,2014-01,16422.0
tim/intelig,quantidade de resolvidas,STFC,2014-01,500.0
ctbc telecom,quantidade de reabertas,STFC,2014-01,24.0
embratel,quantidade de reabertas,STFC,2014-01,748.0
gvt,quantidade de reabertas,STFC,2014-01,338.0
oi,quantidade de reabertas,STFC,2014-01,2694.0
sercomtel,quantidade de reabertas,STFC,2014-01,2.0
