GRUPO ECONÔMICO,VARIÁVEL,SERVIÇO,data,valor
algar,indicador de desempenho no atendimento (ida),STFC,2016-01,100.0
embratel,indicador de desempenho no atendimento (ida),STFC,2016-01,81.31005
oi,indicador de desempenho no atendimento (ida),STFC,2016-01,0.0
sercomtel,indicador de desempenho no atendimento (ida),STFC,2016-01,89.88095
tim,indicador de desempenho no atendimento (ida),STFC,2016-01,76.09918
vivo,indicador de desempenho no atendimento (ida),STFC,2016-01,48.22039
algar,índice de reclamações,STFC,2016-01,0.218837
embratel,índice de reclamações,STFC,2016-01,1.032838
oi,índice de reclamações,STFC,2016-01,3.727691
sercomtel,índice de reclamações,STFC,2016-01,0.229408
tim,índice de reclamações,STFC,2016-01,1.220429
vivo,índice de reclamações,STFC,2016-01,1.824961
algar,quantidade de acessos em serviço,STFC,2016-01,945908.0
embratel,quantidade de acessos em serviço,STFC,2016-01,11477112.0
oi,quantidade de acessos em serviço,STFC,2016-01,15046849.0
sercomtel,quantidade de acessos em serviço,STFC,2016-01,244107.0
tim,quantidade de acessos em serviço,STFC,2016-01,602247.0
vivo,quantidade de acessos em serviço,STFC,2016-01,10132822.0
algar,quantidade de reabertas,STFC,2016-01,9.0
embratel,quantidade de reabertas,STFC,2016-01,922.0
oi,quantidade de reabertas,STFC,2016-01,4538.0
sercomtel,quantidade de reabertas,STFC,2016-01,2.0
tim,quantidade de reabertas,STFC,2016-01,45.0
vivo,quantidade de reabertas,STFC,2016-01,1680.0
algar,quantidade de reclamações,STFC,2016-01,207.0
embratel,quantidade de reclamações,STFC,2016-01,11854.0
oi,quantidade de reclamações,STFC,2016-01,56090.0
sercomtel,quantidade de reclamações,STFC,2016-01,56.0
tim,quantidade de reclamações,STFC,2016-01,735.0
vivo,quantidade de reclamações,STFC,2016-01,18492.0
algar,quantidade de reclamações no período,STFC,2016-01,663.0
embratel,quantidade de reclamações no período,STFC,2016-01,34086.0
oi,quantidade de reclamações no período,STFC,2016-01,137998.0
sercomtel,quantidade de reclamações no período,STFC,2016-01,152.0
tim,quantidade de reclamações no período,STFC,2016-01,2187.0
vivo,quantidade de reclamações no período,STFC,2016-01,55760.0
algar,quantidade de respondidas,STFC,2016-01,207.0
embratel,quantidade de respondidas,STFC,2016-01,11815.0
oi,quantidade de respondidas,STFC,2016-01,54136.0
sercomtel,quantidade de respondidas,STFC,2016-01,51.0
tim,quantidade de respondidas,STFC,2016-01,735.0
vivo,quantidade de respondidas,STFC,2016-01,18479.0
algar,quantidade de sol. respondidas em até 5 dias,STFC,2016-01,187.0
embratel,quantidade de sol. respondidas em até 5 dias,STFC,2016-01,10255.0
oi,quantidade de sol. respondidas em até 5 dias,STFC,2016-01,43747.0
sercomtel,quantidade de sol. respondidas em até 5 dias,STFC,2016-01,39.0
tim,quantidade de sol. respondidas em até 5 dias,STFC,2016-01,628.0
vivo,quantidade de sol. respondidas em até 5 dias,STFC,2016-01,15494.0
algar,quantidade de sol. respondidas no período,STFC,2016-01,663.0
embratel,quantidade de sol. respondidas no período,STFC,2016-01,34006.0
oi,quantidade de sol. respondidas no período,STFC,2016-01,137659.0
sercomtel,quantidade de sol. respondidas no período,STFC,2016-01,152.0
tim,quantidade de sol. respondidas no período,STFC,2016-01,2175.0
vivo,quantidade de sol. respondidas no período,STFC,2016-01,55721.0
algar,taxa de reabertas,STFC,2016-01,4.347826
embratel,taxa de reabertas,STFC,2016-01,7.803639
oi,taxa de reabertas,STFC,2016-01,8.382592
sercomtel,taxa de reabertas,STFC,2016-01,3.921569
tim,taxa de reabertas,STFC,2016-01,6.122449
vivo,taxa de reabertas,STFC,2016-01,9.091401
algar,taxa de respondidas em 5 dias úteis,STFC,2016-01,90.33816
embratel,taxa de respondidas em 5 dias úteis,STFC,2016-01,86.51088
oi,taxa de respondidas em 5 dias úteis,STFC,2016-01,77.99429
sercomtel,taxa de respondidas em 5 dias úteis,STFC,2016-01,69.64286
tim,taxa de respondidas em 5 dias úteis,STFC,2016-01,85.44218
vivo,taxa de respondidas em 5 dias úteis,STFC,2016-01,83.78758
algar,taxa de respondidas no período,STFC,2016-01,100.0
embratel,taxa de respondidas no período,STFC,2016-01,99.765
oi,taxa de respondidas no período,STFC,2016-01,99.754
sercomtel,taxa de respondidas no período,STFC,2016-01,100.0
tim,taxa de respondidas no período,STFC,2016-01,99.451
vivo,taxa de respondidas no período,STFC,2016-01,99.93
algar,indicador de desempenho no atendimento (ida),STFC,2016-02,100.0
embratel,indicador de desempenho no atendimento (ida),STFC,2016-02,83.7597152690559
oi,indicador de desempenho no atendimento (ida),STFC,2016-02,0.0
sercomtel,indicador de desempenho no atendimento (ida),STFC,2016-02,85.9903381642512
tim,indicador de desempenho no atendimento (ida),STFC,2016-02,69.1952993305361
vivo,indicador de desempenho no atendimento (ida),STFC,2016-02,54.1424249771649
algar,índice de reclamações,STFC,2016-02,0.266559082460412
embratel,índice de reclamações,STFC,2016-02,0.944650250313989
oi,índice de reclamações,STFC,2016-02,3.79881978971544
sercomtel,índice de reclamações,STFC,2016-02,0.281388017764148
tim,índice de reclamações,STFC,2016-02,1.09475633054748
vivo,índice de reclamações,STFC,2016-02,1.79979955966569
algar,quantidade de acessos em serviço,STFC,2016-02,971642.0
embratel,quantidade de acessos em serviço,STFC,2016-02,11458209.0
oi,quantidade de acessos em serviço,STFC,2016-02,14983601.0
sercomtel,quantidade de acessos em serviço,STFC,2016-02,245213.0
tim,quantidade de acessos em serviço,STFC,2016-02,609268.0
vivo,quantidade de acessos em serviço,STFC,2016-02,10087790.0
algar,quantidade de reabertas,STFC,2016-02,18.0
embratel,quantidade de reabertas,STFC,2016-02,806.0
oi,quantidade de reabertas,STFC,2016-02,4734.0
sercomtel,quantidade de reabertas,STFC,2016-02,3.0
tim,quantidade de reabertas,STFC,2016-02,56.0
vivo,quantidade de reabertas,STFC,2016-02,1702.0
algar,quantidade de reclamações,STFC,2016-02,259.0
embratel,quantidade de reclamações,STFC,2016-02,10824.0
oi,quantidade de reclamações,STFC,2016-02,56920.0
sercomtel,quantidade de reclamações,STFC,2016-02,69.0
tim,quantidade de reclamações,STFC,2016-02,667.0
vivo,quantidade de reclamações,STFC,2016-02,18156.0
algar,quantidade de reclamações no período,STFC,2016-02,640.0
embratel,quantidade de reclamações no período,STFC,2016-02,33564.0
oi,quantidade de reclamações no período,STFC,2016-02,147138.0
sercomtel,quantidade de reclamações no período,STFC,2016-02,164.0
tim,quantidade de reclamações no período,STFC,2016-02,2231.0
vivo,quantidade de reclamações no período,STFC,2016-02,53878.0
algar,quantidade de respondidas,STFC,2016-02,259.0
embratel,quantidade de respondidas,STFC,2016-02,10791.0
oi,quantidade de respondidas,STFC,2016-02,55972.0
sercomtel,quantidade de respondidas,STFC,2016-02,69.0
tim,quantidade de respondidas,STFC,2016-02,667.0
vivo,quantidade de respondidas,STFC,2016-02,18143.0
algar,quantidade de sol. respondidas em até 5 dias,STFC,2016-02,225.0
embratel,quantidade de sol. respondidas em até 5 dias,STFC,2016-02,9260.0
oi,quantidade de sol. respondidas em até 5 dias,STFC,2016-02,42482.0
sercomtel,quantidade de sol. respondidas em até 5 dias,STFC,2016-02,40.0
tim,quantidade de sol. respondidas em até 5 dias,STFC,2016-02,564.0
vivo,quantidade de sol. respondidas em até 5 dias,STFC,2016-02,15819.0
algar,quantidade de sol. respondidas no período,STFC,2016-02,640.0
embratel,quantidade de sol. respondidas no período,STFC,2016-02,33502.0
oi,quantidade de sol. respondidas no período,STFC,2016-02,146752.0
sercomtel,quantidade de sol. respondidas no período,STFC,2016-02,164.0
tim,quantidade de sol. respondidas no período,STFC,2016-02,2223.0
vivo,quantidade de sol. respondidas no período,STFC,2016-02,53871.0
algar,taxa de reabertas,STFC,2016-02,6.94980694980695
embratel,taxa de reabertas,STFC,2016-02,7.46918728570105
oi,taxa de reabertas,STFC,2016-02,8.4578003287358
sercomtel,taxa de reabertas,STFC,2016-02,4.34782608695652
tim,taxa de reabertas,STFC,2016-02,8.39580209895053
vivo,taxa de reabertas,STFC,2016-02,9.38102849583862
algar,taxa de respondidas em 5 dias úteis,STFC,2016-02,86.8725868725869
