GRUPO ECONÔMICO,VARIÁVEL,SERVIÇO,data,valor
algar,indicador de desempenho no atendimento (ida),SCM,2017-01,87.102
net,indicador de desempenho no atendimento (ida),SCM,2017-01,78.19
oi,indicador de desempenho no atendimento (ida),SCM,2017-01,9.3
sercomtel,indicador de desempenho no atendimento (ida),SCM,2017-01,86.874
sky,indicador de desempenho no atendimento (ida),SCM,2017-01,18.247
tim,indicador de desempenho no atendimento (ida),SCM,2017-01,0.0
vivo,indicador de desempenho no atendimento (ida),SCM,2017-01,59.665
algar,índice de reclamações,SCM,2017-01,0.702
net,índice de reclamações,SCM,2017-01,0.863
oi,índice de reclamações,SCM,2017-01,3.744
sercomtel,índice de reclamações,SCM,2017-01,0.232
sky,índice de reclamações,SCM,2017-01,3.182
tim,índice de reclamações,SCM,2017-01,5.927
vivo,índice de reclamações,SCM,2017-01,2.013
algar,quantidade de acessos em serviço,SCM,2017-01,498849.0
net,quantidade de acessos em serviço,SCM,2017-01,8528998.0
oi,quantidade de acessos em serviço,SCM,2017-01,6420116.0
sercomtel,quantidade de acessos em serviço,SCM,2017-01,167817.0
sky,quantidade de acessos em serviço,SCM,2017-01,309837.0
tim,quantidade de acessos em serviço,SCM,2017-01,331703.0
vivo,quantidade de acessos em serviço,SCM,2017-01,7473425.0
algar,quantidade de reabertas,SCM,2017-01,30.0
net,quantidade de reabertas,SCM,2017-01,584.0
oi,quantidade de reabertas,SCM,2017-01,2722.0
sercomtel,quantidade de reabertas,SCM,2017-01,4.0
sky,quantidade de reabertas,SCM,2017-01,110.0
tim,quantidade de reabertas,SCM,2017-01,175.0
vivo,quantidade de reabertas,SCM,2017-01,1105.0
algar,quantidade de reclamações,SCM,2017-01,350.0
net,quantidade de reclamações,SCM,2017-01,7361.0
oi,quantidade de reclamações,SCM,2017-01,24034.0
sercomtel,quantidade de reclamações,SCM,2017-01,39.0
sky,quantidade de reclamações,SCM,2017-01,986.0
tim,quantidade de reclamações,SCM,2017-01,1966.0
vivo,quantidade de reclamações,SCM,2017-01,15047.0
algar,quantidade de reclamações no período,SCM,2017-01,984.0
net,quantidade de reclamações no período,SCM,2017-01,18708.0
oi,quantidade de reclamações no período,SCM,2017-01,61214.0
sercomtel,quantidade de reclamações no período,SCM,2017-01,80.0
sky,quantidade de reclamações no período,SCM,2017-01,2645.0
tim,quantidade de reclamações no período,SCM,2017-01,4943.0
vivo,quantidade de reclamações no período,SCM,2017-01,39207.0
algar,quantidade de respondidas,SCM,2017-01,350.0
net,quantidade de respondidas,SCM,2017-01,7276.0
oi,quantidade de respondidas,SCM,2017-01,23923.0
sercomtel,quantidade de respondidas,SCM,2017-01,35.0
sky,quantidade de respondidas,SCM,2017-01,979.0
tim,quantidade de respondidas,SCM,2017-01,1965.0
vivo,quantidade de respondidas,SCM,2017-01,15019.0
algar,quantidade de sol. respondidas em até 5 dias,SCM,2017-01,313.0
net,quantidade de sol. respondidas em até 5 dias,SCM,2017-01,6209.0
oi,quantidade de sol. respondidas em até 5 dias,SCM,2017-01,20651.0
sercomtel,quantidade de sol. respondidas em até 5 dias,SCM,2017-01,32.0
sky,quantidade de sol. respondidas em até 5 dias,SCM,2017-01,833.0
tim,quantidade de sol. respondidas em até 5 dias,SCM,2017-01,1694.0
vivo,quantidade de sol. respondidas em até 5 dias,SCM,2017-01,12895.0
algar,quantidade de sol. respondidas no período,SCM,2017-01,984.0
net,quantidade de sol. respondidas no período,SCM,2017-01,18670.0
oi,quantidade de sol. respondidas no período,SCM,2017-01,61054.0
sercomtel,quantidade de sol. respondidas no período,SCM,2017-01,80.0
sky,quantidade de sol. respondidas no período,SCM,2017-01,2645.0
tim,quantidade de sol. respondidas no período,SCM,2017-01,4943.0
vivo,quantidade de sol. respondidas no período,SCM,2017-01,39184.0
algar,taxa de reabertas,SCM,2017-01,8.571
net,taxa de reabertas,SCM,2017-01,8.026
oi,taxa de reabertas,SCM,2017-01,11.378
sercomtel,taxa de reabertas,SCM,2017-01,11.429
sky,taxa de reabertas,SCM,2017-01,11.236
tim,taxa de reabertas,SCM,2017-01,8.906
vivo,taxa de reabertas,SCM,2017-01,7.357
algar,taxa de respondidas em 5 dias úteis,SCM,2017-01,89.429
net,taxa de respondidas em 5 dias úteis,SCM,2017-01,84.35
oi,taxa de respondidas em 5 dias úteis,SCM,2017-01,85.924
sercomtel,taxa de respondidas em 5 dias úteis,SCM,2017-01,82.051
sky,taxa de respondidas em 5 dias úteis,SCM,2017-01,84.483
tim,taxa de respondidas em 5 dias úteis,SCM,2017-01,86.165
vivo,taxa de respondidas em 5 dias úteis,SCM,2017-01,85.698
algar,taxa de respondidas no período,SCM,2017-01,100.0
net,taxa de respondidas no período,SCM,2017-01,99.797
oi,taxa de respondidas no período,SCM,2017-01,99.739
sercomtel,taxa de respondidas no período,SCM,2017-01,100.0
sky,taxa de respondidas no período,SCM,2017-01,100.0
tim,taxa de respondidas no período,SCM,2017-01,100.0
vivo,taxa de respondidas no período,SCM,2017-01,99.941
algar,indicador de desempenho no atendimento (ida),SCM,2017-02,95.013
net,indicador de desempenho no atendimento (ida),SCM,2017-02,80.442
oi,indicador de desempenho no atendimento (ida),SCM,2017-02,26.978
sercomtel,indicador de desempenho no atendimento (ida),SCM,2017-02,83.415
sky,indicador de desempenho no atendimento (ida),SCM,2017-02,36.214
tim,indicador de desempenho no atendimento (ida),SCM,2017-02,0.0
vivo,indicador de desempenho no atendimento (ida),SCM,2017-02,68.482
algar,índice de reclamações,SCM,2017-02,0.599
net,índice de reclamações,SCM,2017-02,0.717
oi,índice de reclamações,SCM,2017-02,3.008
sercomtel,índice de reclamações,SCM,2017-02,0.22
sky,índice de reclamações,SCM,2017-02,2.951
tim,índice de reclamações,SCM,2017-02,4.429
vivo,índice de reclamações,SCM,2017-02,1.661
algar,quantidade de acessos em serviço,SCM,2017-02,502101.0
net,quantidade de acessos em serviço,SCM,2017-02,8545483.0
oi,quantidade de acessos em serviço,SCM,2017-02,6429832.0
sercomtel,quantidade de acessos em serviço,SCM,2017-02,167812.0
sky,quantidade de acessos em serviço,SCM,2017-02,314084.0
tim,quantidade de acessos em serviço,SCM,2017-02,335514.0
vivo,quantidade de acessos em serviço,SCM,2017-02,7481705.0
algar,quantidade de reabertas,SCM,2017-02,15.0
net,quantidade de reabertas,SCM,2017-02,572.0
oi,quantidade de reabertas,SCM,2017-02,2410.0
sercomtel,quantidade de reabertas,SCM,2017-02,4.0
sky,quantidade de reabertas,SCM,2017-02,68.0
tim,quantidade de reabertas,SCM,2017-02,105.0
vivo,quantidade de reabertas,SCM,2017-02,782.0
algar,quantidade de reclamações,SCM,2017-02,301.0
net,quantidade de reclamações,SCM,2017-02,6130.0
oi,quantidade de reclamações,SCM,2017-02,19342.0
sercomtel,quantidade de reclamações,SCM,2017-02,37.0
sky,quantidade de reclamações,SCM,2017-02,927.0
tim,quantidade de reclamações,SCM,2017-02,1486.0
vivo,quantidade de reclamações,SCM,2017-02,12425.0
algar,quantidade de reclamações no período,SCM,2017-02,1064.0
net,quantidade de reclamações no período,SCM,2017-02,20029.0
oi,quantidade de reclamações no período,SCM,2017-02,65618.0
sercomtel,quantidade de reclamações no período,SCM,2017-02,93.0
sky,quantidade de reclamações no período,SCM,2017-02,2724.0
tim,quantidade de reclamações no período,SCM,2017-02,5137.0
vivo,quantidade de reclamações no período,SCM,2017-02,41865.0
algar,quantidade de respondidas,SCM,2017-02,301.0
net,quantidade de respondidas,SCM,2017-02,6123.0
oi,quantidade de respondidas,SCM,2017-02,19267.0
sercomtel,quantidade de respondidas,SCM,2017-02,33.0
sky,quantidade de respondidas,SCM,2017-02,926.0
tim,quantidade de respondidas,SCM,2017-02,1485.0
vivo,quantidade de respondidas,SCM,2017-02,12419.0
algar,quantidade de sol. respondidas em até 5 dias,SCM,2017-02,272.0
net,quantidade de sol. respondidas em até 5 dias,SCM,2017-02,5066.0
oi,quantidade de sol. respondidas em até 5 dias,SCM,2017-02,16510.0
sercomtel,quantidade de sol. respondidas em até 5 dias,SCM,2017-02,27.0
sky,quantidade de sol. respondidas em até 5 dias,SCM,2017-02,792.0
tim,quantidade de sol. respondidas em até 5 dias,SCM,2017-02,1302.0
vivo,quantidade de sol. respondidas em até 5 dias,SCM,2017-02,10773.0
algar,quantidade de sol. respondidas no período,SCM,2017-02,1064.0
net,quantidade de sol. respondidas no período,SCM,2017-02,19952.0
oi,quantidade de sol. respondidas no período,SCM,2017-02,65486.0
sercomtel,quantidade de sol. respondidas no período,SCM,2017-02,93.0
sky,quantidade de sol. respondidas no período,SCM,2017-02,2724.0
tim,quantidade de sol. respondidas no período,SCM,2017-02,5137.0
vivo,quantidade de sol. respondidas no período,SCM,2017-02,41833.0
algar,taxa de reabertas,SCM,2017-02,4.983
net,taxa de reabertas,SCM,2017-02,9.342
oi,taxa de reabertas,SCM,2017-02,12.508
sercomtel,taxa de reabertas,SCM,2017-02,12.121
sky,taxa de reabertas,SCM,2017-02,7.343
tim,taxa de reabertas,SCM,2017-02,7.071
vivo,taxa de reabertas,SCM,2017-02,6.297
algar,taxa de respondidas em 5 dias úteis,SCM,2017-02,90.365
net,taxa de respondidas em 5 dias úteis,SCM,2017-02,82.643
oi,taxa de respondidas em 5 dias úteis,SCM,2017-02,85.358
sercomtel,taxa de respondidas em 5 dias úteis,SCM,2017-02,72.973
sky,taxa de respondidas em 5 dias úteis,SCM,2017-02,85.437
tim,taxa de respondidas em 5 dias úteis,SCM,2017-02,87.618
vivo,taxa de respondidas em 5 dias úteis,SCM,2017-02,86.704
algar,taxa de respondidas no período,SCM,2017-02,100.0
net,taxa de respondidas no período,SCM,2017-02,99.616
oi,taxa de respondidas no período,SCM,2017-02,99.799
sercomtel,taxa de respondidas no período,SCM,2017-02,100.0
sky,taxa de respondidas no período,SCM,2017-02,100.0
tim,taxa de respondidas no período,SCM,2017-02,100.0
vivo,taxa de respondidas no período,SCM,2017-02,99.924
algar,indicador de desempenho no atendimento (ida),SCM,2017-03,92.03
net,indicador de desempenho no atendimento (ida),SCM,2017-03,77.001
oi,indicador de desempenho no atendimento (ida),SCM,2017-03,8.545
sercomtel,indicador de desempenho no atendimento (ida),SCM,2017-03,74.282
sky,indicador de desempenho no atendimento (ida),SCM,2017-03,12.54
tim,indicador de desempenho no atendimento (ida),SCM,2017-03,0.0
vivo,indicador de desempenho no atendimento (ida),SCM,2017-03,61.315
algar,índice de reclamações,SCM,2017-03,0.719
net,índice de reclamações,SCM,2017-03,0.863
oi,índice de reclamações,SCM,2017-03,3.468
sercomtel,índice de reclamações,SCM,2017-03,0.172
sky,índice de reclamações,SCM,2017-03,3.698
tim,índice de reclamações,SCM,2017-03,4.307
vivo,índice de reclamações,SCM,2017-03,1.947
algar,quantidade de acessos em serviço,SCM,2017-03,507795.0
net,quantidade de acessos em serviço,SCM,2017-03,8577280.0
oi,quantidade de acessos em serviço,SCM,2017-03,6416887.0
sercomtel,quantidade de acessos em serviço,SCM,2017-03,168165.0
sky,quantidade de acessos em serviço,SCM,2017-03,330993.0
tim,quantidade de acessos em serviço,SCM,2017-03,341995.0
