GRUPO ECONÔMICO,VARIÁVEL,SERVIÇO,data,valor
algar,indicador de desempenho no atendimento (ida),SCM,2019-01,58.08778793894429
net,indicador de desempenho no atendimento (ida),SCM,2019-01,77.40686349197406
oi,indicador de desempenho no atendimento (ida),SCM,2019-01,47.4027098602281
sercomtel,indicador de desempenho no atendimento (ida),SCM,2019-01,83.82509303561935
sky,indicador de desempenho no atendimento (ida),SCM,2019-01,26.422366453158205
tim,indicador de desempenho no atendimento (ida),SCM,2019-01,0.0
vivo,indicador de desempenho no atendimento (ida),SCM,2019-01,62.86101906164564
algar,índice de reclamações,SCM,2019-01,1.85240925000645
net,índice de reclamações,SCM,2019-01,1.3037254603210373
oi,índice de reclamações,SCM,2019-01,2.2805185958521217
sercomtel,índice de reclamações,SCM,2019-01,0.18388698370503237
sky,índice de reclamações,SCM,2019-01,3.3431053418736716
tim,índice de reclamações,SCM,2019-01,19.085609580100375
vivo,índice de reclamações,SCM,2019-01,1.8855592375341745
algar,quantidade de acessos em serviço,SCM,2019-01,581405.0
net,quantidade de acessos em serviço,SCM,2019-01,9372372.0
oi,quantidade de acessos em serviço,SCM,2019-01,5942508.0
sercomtel,quantidade de acessos em serviço,SCM,2019-01,309973.0
sky,quantidade de acessos em serviço,SCM,2019-01,352367.0
tim,quantidade de acessos em serviço,SCM,2019-01,493356.0
vivo,quantidade de acessos em serviço,SCM,2019-01,7561152.0
algar,quantidade de reabertas,SCM,2019-01,85.0
net,quantidade de reabertas,SCM,2019-01,906.0
oi,quantidade de reabertas,SCM,2019-01,1156.0
sercomtel,quantidade de reabertas,SCM,2019-01,6.0
sky,quantidade de reabertas,SCM,2019-01,37.0
tim,quantidade de reabertas,SCM,2019-01,1493.0
vivo,quantidade de reabertas,SCM,2019-01,835.0
algar,quantidade de reclamações,SCM,2019-01,1077.0
net,quantidade de reclamações,SCM,2019-01,12219.0
oi,quantidade de reclamações,SCM,2019-01,13552.0
sercomtel,quantidade de reclamações,SCM,2019-01,57.0
sky,quantidade de reclamações,SCM,2019-01,1178.0
tim,quantidade de reclamações,SCM,2019-01,9416.0
vivo,quantidade de reclamações,SCM,2019-01,14257.0
algar,quantidade de reclamações no período,SCM,2019-01,2400.0
net,quantidade de reclamações no período,SCM,2019-01,25706.0
oi,quantidade de reclamações no período,SCM,2019-01,33980.0
sercomtel,quantidade de reclamações no período,SCM,2019-01,135.0
sky,quantidade de reclamações no período,SCM,2019-01,2871.0
tim,quantidade de reclamações no período,SCM,2019-01,20886.0
vivo,quantidade de reclamações no período,SCM,2019-01,33233.0
algar,quantidade de respondidas,SCM,2019-01,1077.0
net,quantidade de respondidas,SCM,2019-01,12099.0
oi,quantidade de respondidas,SCM,2019-01,12938.0
sercomtel,quantidade de respondidas,SCM,2019-01,55.0
sky,quantidade de respondidas,SCM,2019-01,1178.0
tim,quantidade de respondidas,SCM,2019-01,9398.0
vivo,quantidade de respondidas,SCM,2019-01,14239.0
algar,quantidade de sol. respondidas em até 5 dias,SCM,2019-01,896.0
net,quantidade de sol. respondidas em até 5 dias,SCM,2019-01,10450.0
oi,quantidade de sol. respondidas em até 5 dias,SCM,2019-01,11538.0
sercomtel,quantidade de sol. respondidas em até 5 dias,SCM,2019-01,41.0
sky,quantidade de sol. respondidas em até 5 dias,SCM,2019-01,1034.0
tim,quantidade de sol. respondidas em até 5 dias,SCM,2019-01,7821.0
vivo,quantidade de sol. respondidas em até 5 dias,SCM,2019-01,12186.0
algar,quantidade de sol. respondidas no período,SCM,2019-01,2400.0
net,quantidade de sol. respondidas no período,SCM,2019-01,25651.0
oi,quantidade de sol. respondidas no período,SCM,2019-01,33956.0
sercomtel,quantidade de sol. respondidas no período,SCM,2019-01,135.0
