GRUPO ECONÔMICO,VARIÁVEL,SERVIÇO,data,valor
ctbc telecom,indicador de desempenho no atendimento (ida),STFC,2013-01,95.0
embratel,indicador de desempenho no atendimento (ida),STFC,2013-01,76.395
gvt,indicador de desempenho no atendimento (ida),STFC,2013-01,54.527
oi,indicador de desempenho no atendimento (ida),STFC,2013-01,24.116
sercomtel,indicador de desempenho no atendimento (ida),STFC,2013-01,100.0
telefônica,indicador de desempenho no atendimento (ida),STFC,2013-01,66.215
ctbc telecom,quantidade de reclamações,STFC,2013-01,442.0
embratel,quantidade de reclamações,STFC,2013-01,8886.0
gvt,quantidade de reclamações,STFC,2013-01,6536.0
oi,quantidade de reclamações,STFC,2013-01,50123.0
sercomtel,quantidade de reclamações,STFC,2013-01,62.0
telefônica,quantidade de reclamações,STFC,2013-01,14712.0
ctbc telecom,quantidade de acessos em serviço,STFC,2013-01,818153.0
embratel,quantidade de acessos em serviço,STFC,2013-01,9681154.0
gvt,quantidade de acessos em serviço,STFC,2013-01,3636086.0
oi,quantidade de acessos em serviço,STFC,2013-01,18622687.0
sercomtel,quantidade de acessos em serviço,STFC,2013-01,188926.0
telefônica,quantidade de acessos em serviço,STFC,2013-01,10537617.0
ctbc telecom,índice de reclamações,STFC,2013-01,0.54
embratel,índice de reclamações,STFC,2013-01,0.918
gvt,índice de reclamações,STFC,2013-01,1.798
oi,índice de reclamações,STFC,2013-01,2.692
sercomtel,índice de reclamações,STFC,2013-01,0.328
telefônica,índice de reclamações,STFC,2013-01,1.396
ctbc telecom,taxa de resolvidas em 5 dias úteis,STFC,2013-01,92.76
embratel,taxa de resolvidas em 5 dias úteis,STFC,2013-01,82.073
gvt,taxa de resolvidas em 5 dias úteis,STFC,2013-01,83.415
oi,taxa de resolvidas em 5 dias úteis,STFC,2013-01,83.796
sercomtel,taxa de resolvidas em 5 dias úteis,STFC,2013-01,96.774
telefônica,taxa de resolvidas em 5 dias úteis,STFC,2013-01,86.1
ctbc telecom,taxa de reabertas,STFC,2013-01,5.43
embratel,taxa de reabertas,STFC,2013-01,7.836
gvt,taxa de reabertas,STFC,2013-01,7.386
oi,taxa de reabertas,STFC,2013-01,9.127
sercomtel,taxa de reabertas,STFC,2013-01,3.226
telefônica,taxa de reabertas,STFC,2013-01,8.011
ctbc telecom,taxa de resolvidas no período,STFC,2013-01,100.0
embratel,taxa de resolvidas no período,STFC,2013-01,98.936
gvt,taxa de resolvidas no período,STFC,2013-01,99.971
oi,taxa de resolvidas no período,STFC,2013-01,99.462
sercomtel,taxa de resolvidas no período,STFC,2013-01,100.0
telefônica,taxa de resolvidas no período,STFC,2013-01,99.776
ctbc telecom,indicador de desempenho no atendimento (ida),STFC,2013-02,95.111
embratel,indicador de desempenho no atendimento (ida),STFC,2013-02,73.642
gvt,indicador de desempenho no atendimento (ida),STFC,2013-02,31.456
oi,indicador de desempenho no atendimento (ida),STFC,2013-02,25.007
sercomtel,indicador de desempenho no atendimento (ida),STFC,2013-02,100.0
telefônica,indicador de desempenho no atendimento (ida),STFC,2013-02,72.056
ctbc telecom,quantidade de reclamações,STFC,2013-02,440.0
embratel,quantidade de reclamações,STFC,2013-02,9656.0
gvt,quantidade de reclamações,STFC,2013-02,9570.0
oi,quantidade de reclamações,STFC,2013-02,48256.0
sercomtel,quantidade de reclamações,STFC,2013-02,66.0
telefônica,quantidade de reclamações,STFC,2013-02,14334.0
ctbc telecom,quantidade de acessos em serviço,STFC,2013-02,821514.0
embratel,quantidade de acessos em serviço,STFC,2013-02,9787099.0
gvt,quantidade de acessos em serviço,STFC,2013-02,3671778.0
oi,quantidade de acessos em serviço,STFC,2013-02,18579855.0
sercomtel,quantidade de acessos em serviço,STFC,2013-02,189848.0
telefônica,quantidade de acessos em serviço,STFC,2013-02,10492160.0
ctbc telecom,índice de reclamações,STFC,2013-02,0.536
embratel,índice de reclamações,STFC,2013-02,0.987
gvt,índice de reclamações,STFC,2013-02,2.606
oi,índice de reclamações,STFC,2013-02,2.597
