GRUPO ECONÔMICO,VARIÁVEL,SERVIÇO,data,valor
algar,indicador de desempenho no atendimento (ida),SMP,2019-01,87.47783687943263
claro,indicador de desempenho no atendimento (ida),SMP,2019-01,85.7055434578636
nextel,indicador de desempenho no atendimento (ida),SMP,2019-01,43.71943451744498
oi,indicador de desempenho no atendimento (ida),SMP,2019-01,82.28781927821613
sercomtel,indicador de desempenho no atendimento (ida),SMP,2019-01,0.0
tim,indicador de desempenho no atendimento (ida),SMP,2019-01,59.53407632839113
vivo,indicador de desempenho no atendimento (ida),SMP,2019-01,89.5998364764618
algar,índice de reclamações,SMP,2019-01,0.14748880693322916
claro,índice de reclamações,SMP,2019-01,0.48588913084272817
nextel,índice de reclamações,SMP,2019-01,1.2248965598135435
oi,índice de reclamações,SMP,2019-01,0.4432582106495851
sercomtel,índice de reclamações,SMP,2019-01,0.04884243430692586
tim,índice de reclamações,SMP,2019-01,1.0093184734321774
vivo,índice de reclamações,SMP,2019-01,0.408003270470764
algar,quantidade de acessos em serviço,SMP,2019-01,1274673.0
claro,quantidade de acessos em serviço,SMP,2019-01,56412046.0
nextel,quantidade de acessos em serviço,SMP,2019-01,3350487.0
oi,quantidade de acessos em serviço,SMP,2019-01,37671045.0
sercomtel,quantidade de acessos em serviço,SMP,2019-01,61422.0
tim,quantidade de acessos em serviço,SMP,2019-01,55748509.0
vivo,quantidade de acessos em serviço,SMP,2019-01,73239609.0
algar,quantidade de reabertas,SMP,2019-01,19.0
claro,quantidade de reabertas,SMP,2019-01,1518.0
nextel,quantidade de reabertas,SMP,2019-01,265.0
oi,quantidade de reabertas,SMP,2019-01,1393.0
sercomtel,quantidade de reabertas,SMP,2019-01,0.0
tim,quantidade de reabertas,SMP,2019-01,3957.0
vivo,quantidade de reabertas,SMP,2019-01,1906.0
algar,quantidade de reclamações,SMP,2019-01,188.0
claro,quantidade de reclamações,SMP,2019-01,27410.0
nextel,quantidade de reclamações,SMP,2019-01,4104.0
oi,quantidade de reclamações,SMP,2019-01,16698.0
sercomtel,quantidade de reclamações,SMP,2019-01,3.0
tim,quantidade de reclamações,SMP,2019-01,56268.0
vivo,quantidade de reclamações,SMP,2019-01,29882.0
algar,quantidade de reclamações no período,SMP,2019-01,488.0
claro,quantidade de reclamações no período,SMP,2019-01,67469.0
nextel,quantidade de reclamações no período,SMP,2019-01,11569.0
oi,quantidade de reclamações no período,SMP,2019-01,46730.0
sercomtel,quantidade de reclamações no período,SMP,2019-01,45.0
tim,quantidade de reclamações no período,SMP,2019-01,148344.0
vivo,quantidade de reclamações no período,SMP,2019-01,63217.0
algar,quantidade de respondidas,SMP,2019-01,188.0
claro,quantidade de respondidas,SMP,2019-01,25274.0
nextel,quantidade de respondidas,SMP,2019-01,4000.0
oi,quantidade de respondidas,SMP,2019-01,15689.0
sercomtel,quantidade de respondidas,SMP,2019-01,3.0
tim,quantidade de respondidas,SMP,2019-01,55732.0
vivo,quantidade de respondidas,SMP,2019-01,29821.0
algar,quantidade de sol. respondidas em até 5 dias,SMP,2019-01,153.0
claro,quantidade de sol. respondidas em até 5 dias,SMP,2019-01,23637.0
nextel,quantidade de sol. respondidas em até 5 dias,SMP,2019-01,3484.0
oi,quantidade de sol. respondidas em até 5 dias,SMP,2019-01,14210.0
sercomtel,quantidade de sol. respondidas em até 5 dias,SMP,2019-01,3.0
tim,quantidade de sol. respondidas em até 5 dias,SMP,2019-01,48309.0
vivo,quantidade de sol. respondidas em até 5 dias,SMP,2019-01,25889.0
algar,quantidade de sol. respondidas no período,SMP,2019-01,488.0
claro,quantidade de sol. respondidas no período,SMP,2019-01,67055.0
nextel,quantidade de sol. respondidas no período,SMP,2019-01,11565.0
oi,quantidade de sol. respondidas no período,SMP,2019-01,46604.0
sercomtel,quantidade de sol. respondidas no período,SMP,2019-01,10.0
tim,quantidade de sol. respondidas no período,SMP,2019-01,148022.0
vivo,quantidade de sol. respondidas no período,SMP,2019-01,63115.0
algar,taxa de reabertas,SMP,2019-01,10.106382978723403
claro,taxa de reabertas,SMP,2019-01,6.006172351032682
nextel,taxa de reabertas,SMP,2019-01,6.625
oi,taxa de reabertas,SMP,2019-01,8.878832302887375
sercomtel,taxa de reabertas,SMP,2019-01,0.0
tim,taxa de reabertas,SMP,2019-01,7.100050240436374
vivo,taxa de reabertas,SMP,2019-01,6.39146909895711
algar,taxa de respondidas em 5 dias úteis,SMP,2019-01,81.38297872340425
claro,taxa de respondidas em 5 dias úteis,SMP,2019-01,86.23495074790223
nextel,taxa de respondidas em 5 dias úteis,SMP,2019-01,84.89278752436647
oi,taxa de respondidas em 5 dias úteis,SMP,2019-01,85.10001197748234
sercomtel,taxa de respondidas em 5 dias úteis,SMP,2019-01,100.0
tim,taxa de respondidas em 5 dias úteis,SMP,2019-01,85.85519300490509
vivo,taxa de respondidas em 5 dias úteis,SMP,2019-01,86.63744059969211
algar,taxa de respondidas no período,SMP,2019-01,100.0
claro,taxa de respondidas no período,SMP,2019-01,99.386
nextel,taxa de respondidas no período,SMP,2019-01,99.965
oi,taxa de respondidas no período,SMP,2019-01,99.73
sercomtel,taxa de respondidas no período,SMP,2019-01,22.222
tim,taxa de respondidas no período,SMP,2019-01,99.783
vivo,taxa de respondidas no período,SMP,2019-01,99.839
algar,indicador de desempenho no atendimento (ida),SMP,2019-02,86.39455782312925
claro,indicador de desempenho no atendimento (ida),SMP,2019-02,86.7887338203782
nextel,indicador de desempenho no atendimento (ida),SMP,2019-02,50.97873975896198
oi,indicador de desempenho no atendimento (ida),SMP,2019-02,89.70222550210211
sercomtel,indicador de desempenho no atendimento (ida),SMP,2019-02,100.0
tim,indicador de desempenho no atendimento (ida),SMP,2019-02,67.24214925403555
vivo,indicador de desempenho no atendimento (ida),SMP,2019-02,92.25634396138176
algar,índice de reclamações,SMP,2019-02,0.15376492637719633
claro,índice de reclamações,SMP,2019-02,0.4642253235924361
nextel,índice de reclamações,SMP,2019-02,1.0745847880398447
oi,índice de reclamações,SMP,2019-02,0.4059554899579578
sercomtel,índice de reclamações,SMP,2019-02,0.04961548002976929
tim,índice de reclamações,SMP,2019-02,0.855157014919289
vivo,índice de reclamações,SMP,2019-02,0.3548731207723647
algar,quantidade de acessos em serviço,SMP,2019-02,1274673.0
claro,quantidade de acessos em serviço,SMP,2019-02,56416569.0
nextel,quantidade de acessos em serviço,SMP,2019-02,3393869.0
oi,quantidade de acessos em serviço,SMP,2019-02,37666691.0
sercomtel,quantidade de acessos em serviço,SMP,2019-02,60465.0
tim,quantidade de acessos em serviço,SMP,2019-02,55343053.0
vivo,quantidade de acessos em serviço,SMP,2019-02,73426243.0
algar,quantidade de reabertas,SMP,2019-02,24.0
claro,quantidade de reabertas,SMP,2019-02,1700.0
nextel,quantidade de reabertas,SMP,2019-02,272.0
oi,quantidade de reabertas,SMP,2019-02,1151.0
sercomtel,quantidade de reabertas,SMP,2019-02,0.0
tim,quantidade de reabertas,SMP,2019-02,2998.0
vivo,quantidade de reabertas,SMP,2019-02,1802.0
algar,quantidade de reclamações,SMP,2019-02,196.0
claro,quantidade de reclamações,SMP,2019-02,26190.0
nextel,quantidade de reclamações,SMP,2019-02,3647.0
oi,quantidade de reclamações,SMP,2019-02,15291.0
sercomtel,quantidade de reclamações,SMP,2019-02,3.0
tim,quantidade de reclamações,SMP,2019-02,47327.0
vivo,quantidade de reclamações,SMP,2019-02,26057.0
algar,quantidade de reclamações no período,SMP,2019-02,543.0
claro,quantidade de reclamações no período,SMP,2019-02,71466.0
nextel,quantidade de reclamações no período,SMP,2019-02,11458.0
oi,quantidade de reclamações no período,SMP,2019-02,46001.0
sercomtel,quantidade de reclamações no período,SMP,2019-02,10.0
tim,quantidade de reclamações no período,SMP,2019-02,153899.0
vivo,quantidade de reclamações no período,SMP,2019-02,69868.0
algar,quantidade de respondidas,SMP,2019-02,196.0
claro,quantidade de respondidas,SMP,2019-02,24186.0
nextel,quantidade de respondidas,SMP,2019-02,3627.0
oi,quantidade de respondidas,SMP,2019-02,14768.0
sercomtel,quantidade de respondidas,SMP,2019-02,3.0
tim,quantidade de respondidas,SMP,2019-02,46861.0
vivo,quantidade de respondidas,SMP,2019-02,26042.0
algar,quantidade de sol. respondidas em até 5 dias,SMP,2019-02,161.0
claro,quantidade de sol. respondidas em até 5 dias,SMP,2019-02,22423.0
nextel,quantidade de sol. respondidas em até 5 dias,SMP,2019-02,3068.0
oi,quantidade de sol. respondidas em até 5 dias,SMP,2019-02,13134.0
sercomtel,quantidade de sol. respondidas em até 5 dias,SMP,2019-02,3.0
tim,quantidade de sol. respondidas em até 5 dias,SMP,2019-02,40655.0
vivo,quantidade de sol. respondidas em até 5 dias,SMP,2019-02,22409.0
algar,quantidade de sol. respondidas no período,SMP,2019-02,543.0
claro,quantidade de sol. respondidas no período,SMP,2019-02,71253.0
nextel,quantidade de sol. respondidas no período,SMP,2019-02,11454.0
oi,quantidade de sol. respondidas no período,SMP,2019-02,45859.0
sercomtel,quantidade de sol. respondidas no período,SMP,2019-02,10.0
tim,quantidade de sol. respondidas no período,SMP,2019-02,153553.0
vivo,quantidade de sol. respondidas no período,SMP,2019-02,69807.0
algar,taxa de reabertas,SMP,2019-02,12.244897959183673
claro,taxa de reabertas,SMP,2019-02,7.028859670883983
nextel,taxa de reabertas,SMP,2019-02,7.4993107251171764
oi,taxa de reabertas,SMP,2019-02,7.793878656554713
sercomtel,taxa de reabertas,SMP,2019-02,0.0
tim,taxa de reabertas,SMP,2019-02,6.397644096370116
vivo,taxa de reabertas,SMP,2019-02,6.919591429229706
algar,taxa de respondidas em 5 dias úteis,SMP,2019-02,82.14285714285714
claro,taxa de respondidas em 5 dias úteis,SMP,2019-02,85.61664757541047
nextel,taxa de respondidas em 5 dias úteis,SMP,2019-02,84.12393748286263
oi,taxa de respondidas em 5 dias úteis,SMP,2019-02,85.89366293898372
sercomtel,taxa de respondidas em 5 dias úteis,SMP,2019-02,100.0
tim,taxa de respondidas em 5 dias úteis,SMP,2019-02,85.90233904536522
vivo,taxa de respondidas em 5 dias úteis,SMP,2019-02,85.99992324519323
algar,taxa de respondidas no período,SMP,2019-02,100.0
claro,taxa de respondidas no período,SMP,2019-02,99.702
nextel,taxa de respondidas no período,SMP,2019-02,99.965
oi,taxa de respondidas no período,SMP,2019-02,99.691
sercomtel,taxa de respondidas no período,SMP,2019-02,100.0
tim,taxa de respondidas no período,SMP,2019-02,99.775
vivo,taxa de respondidas no período,SMP,2019-02,99.913
algar,indicador de desempenho no atendimento (ida),SMP,2019-03,100.0
claro,indicador de desempenho no atendimento (ida),SMP,2019-03,85.49035638803204
nextel,indicador de desempenho no atendimento (ida),SMP,2019-03,48.543447881419944
oi,indicador de desempenho no atendimento (ida),SMP,2019-03,89.53496897298464
sercomtel,indicador de desempenho no atendimento (ida),SMP,2019-03,0.0
tim,indicador de desempenho no atendimento (ida),SMP,2019-03,68.27208882025354
vivo,indicador de desempenho no atendimento (ida),SMP,2019-03,94.70165496551417
algar,índice de reclamações,SMP,2019-03,0.13885914269777425
claro,índice de reclamações,SMP,2019-03,0.49019287223935937
nextel,índice de reclamações,SMP,2019-03,1.125264410618088
oi,índice de reclamações,SMP,2019-03,0.4093006205403071
sercomtel,índice de reclamações,SMP,2019-03,0.810386173819565
tim,índice de reclamações,SMP,2019-03,0.8345582235949289
vivo,índice de reclamações,SMP,2019-03,0.3059669006897166
algar,quantidade de acessos em serviço,SMP,2019-03,1274673.0
claro,quantidade de acessos em serviço,SMP,2019-03,56416569.0
nextel,quantidade de acessos em serviço,SMP,2019-03,3393869.0
oi,quantidade de acessos em serviço,SMP,2019-03,37666691.0
sercomtel,quantidade de acessos em serviço,SMP,2019-03,60465.0
tim,quantidade de acessos em serviço,SMP,2019-03,55343053.0
vivo,quantidade de acessos em serviço,SMP,2019-03,73426243.0
algar,quantidade de reabertas,SMP,2019-03,10.0
claro,quantidade de reabertas,SMP,2019-03,1736.0
nextel,quantidade de reabertas,SMP,2019-03,207.0
oi,quantidade de reabertas,SMP,2019-03,1127.0
sercomtel,quantidade de reabertas,SMP,2019-03,1.0
tim,quantidade de reabertas,SMP,2019-03,3112.0
vivo,quantidade de reabertas,SMP,2019-03,1371.0
algar,quantidade de reclamações,SMP,2019-03,177.0
claro,quantidade de reclamações,SMP,2019-03,27655.0
nextel,quantidade de reclamações,SMP,2019-03,3819.0
oi,quantidade de reclamações,SMP,2019-03,15417.0
sercomtel,quantidade de reclamações,SMP,2019-03,49.0
tim,quantidade de reclamações,SMP,2019-03,46187.0
vivo,quantidade de reclamações,SMP,2019-03,22466.0
algar,quantidade de reclamações no período,SMP,2019-03,544.0
claro,quantidade de reclamações no período,SMP,2019-03,75625.0
nextel,quantidade de reclamações no período,SMP,2019-03,11103.0
oi,quantidade de reclamações no período,SMP,2019-03,46090.0
sercomtel,quantidade de reclamações no período,SMP,2019-03,10.0
tim,quantidade de reclamações no período,SMP,2019-03,151402.0
vivo,quantidade de reclamações no período,SMP,2019-03,75408.0
algar,quantidade de respondidas,SMP,2019-03,177.0
claro,quantidade de respondidas,SMP,2019-03,25472.0
nextel,quantidade de respondidas,SMP,2019-03,3731.0
oi,quantidade de respondidas,SMP,2019-03,14883.0
sercomtel,quantidade de respondidas,SMP,2019-03,1.0
tim,quantidade de respondidas,SMP,2019-03,45744.0
vivo,quantidade de respondidas,SMP,2019-03,22457.0
algar,quantidade de sol. respondidas em até 5 dias,SMP,2019-03,161.0
claro,quantidade de sol. respondidas em até 5 dias,SMP,2019-03,23747.0
nextel,quantidade de sol. respondidas em até 5 dias,SMP,2019-03,3224.0
oi,quantidade de sol. respondidas em até 5 dias,SMP,2019-03,13215.0
sercomtel,quantidade de sol. respondidas em até 5 dias,SMP,2019-03,1.0
tim,quantidade de sol. respondidas em até 5 dias,SMP,2019-03,39786.0
vivo,quantidade de sol. respondidas em até 5 dias,SMP,2019-03,19475.0
algar,quantidade de sol. respondidas no período,SMP,2019-03,544.0
claro,quantidade de sol. respondidas no período,SMP,2019-03,75416.0
nextel,quantidade de sol. respondidas no período,SMP,2019-03,11091.0
oi,quantidade de sol. respondidas no período,SMP,2019-03,46020.0
sercomtel,quantidade de sol. respondidas no período,SMP,2019-03,9.0
tim,quantidade de sol. respondidas no período,SMP,2019-03,151020.0
vivo,quantidade de sol. respondidas no período,SMP,2019-03,75380.0
algar,taxa de reabertas,SMP,2019-03,5.649717514124294
claro,taxa de reabertas,SMP,2019-03,6.815326633165829
nextel,taxa de reabertas,SMP,2019-03,5.548110426159206
oi,taxa de reabertas,SMP,2019-03,7.572398038029967
sercomtel,taxa de reabertas,SMP,2019-03,100.0
tim,taxa de reabertas,SMP,2019-03,6.803077999300456
vivo,taxa de reabertas,SMP,2019-03,6.10500066794318
algar,taxa de respondidas em 5 dias úteis,SMP,2019-03,90.96045197740112
claro,taxa de respondidas em 5 dias úteis,SMP,2019-03,85.86873983004881
nextel,taxa de respondidas em 5 dias úteis,SMP,2019-03,84.42000523697303
oi,taxa de respondidas em 5 dias úteis,SMP,2019-03,85.7170655769605
sercomtel,taxa de respondidas em 5 dias úteis,SMP,2019-03,2.0408163265306123
tim,taxa de respondidas em 5 dias úteis,SMP,2019-03,86.14112196072487
vivo,taxa de respondidas em 5 dias úteis,SMP,2019-03,86.68654856227188
algar,taxa de respondidas no período,SMP,2019-03,100.0
claro,taxa de respondidas no período,SMP,2019-03,99.724
nextel,taxa de respondidas no período,SMP,2019-03,99.892
oi,taxa de respondidas no período,SMP,2019-03,99.848
sercomtel,taxa de respondidas no período,SMP,2019-03,90.0
tim,taxa de respondidas no período,SMP,2019-03,99.748
vivo,taxa de respondidas no período,SMP,2019-03,99.963
algar,indicador de desempenho no atendimento (ida),SMP,2019-04,86.16838487972508
claro,indicador de desempenho no atendimento (ida),SMP,2019-04,86.9102559279153
nextel,indicador de desempenho no atendimento (ida),SMP,2019-04,50.75555653707365
oi,indicador de desempenho no atendimento (ida),SMP,2019-04,88.13351714873197
sercomtel,indicador de desempenho no atendimento (ida),SMP,2019-04,0.0
tim,indicador de desempenho no atendimento (ida),SMP,2019-04,61.20406624690583
vivo,indicador de desempenho no atendimento (ida),SMP,2019-04,95.49139042814443
algar,índice de reclamações,SMP,2019-04,0.1532310423976077
claro,índice de reclamações,SMP,2019-04,0.461794881441694
nextel,índice de reclamações,SMP,2019-04,1.0511502674348188
oi,índice de reclamações,SMP,2019-04,0.43732965702536064
sercomtel,índice de reclamações,SMP,2019-04,0.016947716295229218
tim,índice de reclamações,SMP,2019-04,0.9759186750618833
vivo,índice de reclamações,SMP,2019-04,0.2901721914371114
algar,quantidade de acessos em serviço,SMP,2019-04,1266062.0
claro,quantidade de acessos em serviço,SMP,2019-04,56375679.0
nextel,quantidade de acessos em serviço,SMP,2019-04,3442895.0
oi,quantidade de acessos em serviço,SMP,2019-04,37582633.0
sercomtel,quantidade de acessos em serviço,SMP,2019-04,59005.0
tim,quantidade de acessos em serviço,SMP,2019-04,55207469.0
vivo,quantidade de acessos em serviço,SMP,2019-04,73587341.0
algar,quantidade de reabertas,SMP,2019-04,20.0
claro,quantidade de reabertas,SMP,2019-04,1453.0
nextel,quantidade de reabertas,SMP,2019-04,164.0
oi,quantidade de reabertas,SMP,2019-04,1232.0
sercomtel,quantidade de reabertas,SMP,2019-04,0.0
tim,quantidade de reabertas,SMP,2019-04,3504.0
vivo,quantidade de reabertas,SMP,2019-04,1378.0
algar,quantidade de reclamações,SMP,2019-04,194.0
claro,quantidade de reclamações,SMP,2019-04,26034.0
nextel,quantidade de reclamações,SMP,2019-04,3619.0
oi,quantidade de reclamações,SMP,2019-04,16436.0
sercomtel,quantidade de reclamações,SMP,2019-04,1.0
tim,quantidade de reclamações,SMP,2019-04,53878.0
vivo,quantidade de reclamações,SMP,2019-04,21353.0
algar,quantidade de reclamações no período,SMP,2019-04,561.0
claro,quantidade de reclamações no período,SMP,2019-04,81206.0
nextel,quantidade de reclamações no período,SMP,2019-04,11568.0
oi,quantidade de reclamações no período,SMP,2019-04,47406.0
sercomtel,quantidade de reclamações no período,SMP,2019-04,55.0
tim,quantidade de reclamações no período,SMP,2019-04,149789.0
vivo,quantidade de reclamações no período,SMP,2019-04,78413.0
algar,quantidade de respondidas,SMP,2019-04,194.0
claro,quantidade de respondidas,SMP,2019-04,23644.0
nextel,quantidade de respondidas,SMP,2019-04,3527.0
oi,quantidade de respondidas,SMP,2019-04,16394.0
sercomtel,quantidade de respondidas,SMP,2019-04,1.0
tim,quantidade de respondidas,SMP,2019-04,53412.0
vivo,quantidade de respondidas,SMP,2019-04,21308.0
algar,quantidade de sol. respondidas em até 5 dias,SMP,2019-04,151.0
claro,quantidade de sol. respondidas em até 5 dias,SMP,2019-04,22371.0
nextel,quantidade de sol. respondidas em até 5 dias,SMP,2019-04,2893.0
oi,quantidade de sol. respondidas em até 5 dias,SMP,2019-04,14201.0
sercomtel,quantidade de sol. respondidas em até 5 dias,SMP,2019-04,1.0
tim,quantidade de sol. respondidas em até 5 dias,SMP,2019-04,46560.0
vivo,quantidade de sol. respondidas em até 5 dias,SMP,2019-04,18457.0
algar,quantidade de sol. respondidas no período,SMP,2019-04,561.0
claro,quantidade de sol. respondidas no período,SMP,2019-04,81086.0
nextel,quantidade de sol. respondidas no período,SMP,2019-04,11528.0
oi,quantidade de sol. respondidas no período,SMP,2019-04,47347.0
sercomtel,quantidade de sol. respondidas no período,SMP,2019-04,7.0
tim,quantidade de sol. respondidas no período,SMP,2019-04,149396.0
vivo,quantidade de sol. respondidas no período,SMP,2019-04,78342.0
algar,taxa de reabertas,SMP,2019-04,10.309278350515463
claro,taxa de reabertas,SMP,2019-04,6.145322280493994
nextel,taxa de reabertas,SMP,2019-04,4.649844060107741
oi,taxa de reabertas,SMP,2019-04,7.514944491887275
sercomtel,taxa de reabertas,SMP,2019-04,0.0
tim,taxa de reabertas,SMP,2019-04,6.560323522803864
vivo,taxa de reabertas,SMP,2019-04,6.467054627370001
algar,taxa de respondidas em 5 dias úteis,SMP,2019-04,77.83505154639175
claro,taxa de respondidas em 5 dias úteis,SMP,2019-04,85.92993777368058
nextel,taxa de respondidas em 5 dias úteis,SMP,2019-04,79.93920972644378
oi,taxa de respondidas em 5 dias úteis,SMP,2019-04,86.40180092479922
sercomtel,taxa de respondidas em 5 dias úteis,SMP,2019-04,100.0
tim,taxa de respondidas em 5 dias úteis,SMP,2019-04,86.41746167266788
vivo,taxa de respondidas em 5 dias úteis,SMP,2019-04,86.43750292698918
algar,taxa de respondidas no período,SMP,2019-04,100.0
claro,taxa de respondidas no período,SMP,2019-04,99.852
nextel,taxa de respondidas no período,SMP,2019-04,99.654
oi,taxa de respondidas no período,SMP,2019-04,99.876
sercomtel,taxa de respondidas no período,SMP,2019-04,12.727
tim,taxa de respondidas no período,SMP,2019-04,99.738
vivo,taxa de respondidas no período,SMP,2019-04,99.909
