GRUPO ECONÔMICO,VARIÁVEL,SERVIÇO,data,valor
algar,indicador de desempenho no atendimento (ida),STFC,2019-01,94.84963296735232
embratel,indicador de desempenho no atendimento (ida),STFC,2019-01,82.66707956715604
oi,indicador de desempenho no atendimento (ida),STFC,2019-01,38.12662618130457
sercomtel,indicador de desempenho no atendimento (ida),STFC,2019-01,91.55555555555556
tim,indicador de desempenho no atendimento (ida),STFC,2019-01,13.279852124864334
vivo,indicador de desempenho no atendimento (ida),STFC,2019-01,61.255375010608766
algar,índice de reclamações,STFC,2019-01,0.5454132131753162
embratel,índice de reclamações,STFC,2019-01,0.8332373788525724
oi,índice de reclamações,STFC,2019-01,2.3921518949363354
sercomtel,índice de reclamações,STFC,2019-01,0.307910845441072
tim,índice de reclamações,STFC,2019-01,2.7854687851524824
vivo,índice de reclamações,STFC,2019-01,1.754806499618084
algar,quantidade de acessos em serviço,STFC,2019-01,1156921.0
embratel,quantidade de acessos em serviço,STFC,2019-01,10213176.0
oi,quantidade de acessos em serviço,STFC,2019-01,11998820.0
sercomtel,quantidade de acessos em serviço,STFC,2019-01,243577.0
tim,quantidade de acessos em serviço,STFC,2019-01,897874.0
vivo,quantidade de acessos em serviço,STFC,2019-01,12657236.0
algar,quantidade de reabertas,STFC,2019-01,38.0
embratel,quantidade de reabertas,STFC,2019-01,542.0
oi,quantidade de reabertas,STFC,2019-01,2365.0
sercomtel,quantidade de reabertas,STFC,2019-01,4.0
tim,quantidade de reabertas,STFC,2019-01,435.0
vivo,quantidade de reabertas,STFC,2019-01,1197.0
algar,quantidade de reclamações,STFC,2019-01,631.0
embratel,quantidade de reclamações,STFC,2019-01,8510.0
oi,quantidade de reclamações,STFC,2019-01,28703.0
sercomtel,quantidade de reclamações,STFC,2019-01,75.0
tim,quantidade de reclamações,STFC,2019-01,2501.0
vivo,quantidade de reclamações,STFC,2019-01,22211.0
algar,quantidade de reclamações no período,STFC,2019-01,1382.0
embratel,quantidade de reclamações no período,STFC,2019-01,18054.0
oi,quantidade de reclamações no período,STFC,2019-01,79926.0
sercomtel,quantidade de reclamações no período,STFC,2019-01,131.0
tim,quantidade de reclamações no período,STFC,2019-01,6423.0
vivo,quantidade de reclamações no período,STFC,2019-01,53018.0
algar,quantidade de respondidas,STFC,2019-01,631.0
embratel,quantidade de respondidas,STFC,2019-01,8045.0
oi,quantidade de respondidas,STFC,2019-01,27248.0
sercomtel,quantidade de respondidas,STFC,2019-01,70.0
tim,quantidade de respondidas,STFC,2019-01,2480.0
vivo,quantidade de respondidas,STFC,2019-01,22201.0
algar,quantidade de sol. respondidas em até 5 dias,STFC,2019-01,539.0
embratel,quantidade de sol. respondidas em até 5 dias,STFC,2019-01,7277.0
oi,quantidade de sol. respondidas em até 5 dias,STFC,2019-01,24440.0
sercomtel,quantidade de sol. respondidas em até 5 dias,STFC,2019-01,56.0
tim,quantidade de sol. respondidas em até 5 dias,STFC,2019-01,1872.0
vivo,quantidade de sol. respondidas em até 5 dias,STFC,2019-01,19092.0
algar,quantidade de sol. respondidas no período,STFC,2019-01,1382.0
embratel,quantidade de sol. respondidas no período,STFC,2019-01,17676.0
oi,quantidade de sol. respondidas no período,STFC,2019-01,79865.0
sercomtel,quantidade de sol. respondidas no período,STFC,2019-01,130.0
tim,quantidade de sol. respondidas no período,STFC,2019-01,6415.0
vivo,quantidade de sol. respondidas no período,STFC,2019-01,52821.0
algar,taxa de reabertas,STFC,2019-01,6.022187004754358
embratel,taxa de reabertas,STFC,2019-01,6.7371037911746425
oi,taxa de reabertas,STFC,2019-01,8.67953611274222
sercomtel,taxa de reabertas,STFC,2019-01,5.714285714285714
tim,taxa de reabertas,STFC,2019-01,17.540322580645164
vivo,taxa de reabertas,STFC,2019-01,5.391649024818702
algar,taxa de respondidas em 5 dias úteis,STFC,2019-01,85.41996830427892
embratel,taxa de respondidas em 5 dias úteis,STFC,2019-01,85.5111633372503
oi,taxa de respondidas em 5 dias úteis,STFC,2019-01,85.14789394836777
sercomtel,taxa de respondidas em 5 dias úteis,STFC,2019-01,74.66666666666667
tim,taxa de respondidas em 5 dias úteis,STFC,2019-01,74.8500599760096
vivo,taxa de respondidas em 5 dias úteis,STFC,2019-01,85.9574084912881
algar,taxa de respondidas no período,STFC,2019-01,100.0
embratel,taxa de respondidas no período,STFC,2019-01,97.906
oi,taxa de respondidas no período,STFC,2019-01,99.924
sercomtel,taxa de respondidas no período,STFC,2019-01,99.237
tim,taxa de respondidas no período,STFC,2019-01,99.875
vivo,taxa de respondidas no período,STFC,2019-01,99.628
algar,indicador de desempenho no atendimento (ida),STFC,2019-02,98.18306914430403
embratel,indicador de desempenho no atendimento (ida),STFC,2019-02,89.19835622316415
oi,indicador de desempenho no atendimento (ida),STFC,2019-02,49.730558346462786
sercomtel,indicador de desempenho no atendimento (ida),STFC,2019-02,86.88006828851901
