GRUPO ECONÔMICO,VARIÁVEL,SERVIÇO,data,valor
algar,indicador de desempenho no atendimento (ida),SEAC,2017-01,85.994
claro,indicador de desempenho no atendimento (ida),SEAC,2017-01,68.945
net,indicador de desempenho no atendimento (ida),SEAC,2017-01,81.925
oi,indicador de desempenho no atendimento (ida),SEAC,2017-01,40.53
sky,indicador de desempenho no atendimento (ida),SEAC,2017-01,72.311
vivo,indicador de desempenho no atendimento (ida),SEAC,2017-01,83.059
algar,índice de reclamações,SEAC,2017-01,0.709
claro,índice de reclamações,SEAC,2017-01,2.669
net,índice de reclamações,SEAC,2017-01,1.825
oi,índice de reclamações,SEAC,2017-01,3.709
sky,índice de reclamações,SEAC,2017-01,2.45
vivo,índice de reclamações,SEAC,2017-01,1.751
algar,quantidade de acessos em serviço,SEAC,2017-01,97370.0
claro,quantidade de acessos em serviço,SEAC,2017-01,2519315.0
net,quantidade de acessos em serviço,SEAC,2017-01,7337950.0
oi,quantidade de acessos em serviço,SEAC,2017-01,1318125.0
sky,quantidade de acessos em serviço,SEAC,2017-01,5221719.0
vivo,quantidade de acessos em serviço,SEAC,2017-01,1691460.0
algar,quantidade de reabertas,SEAC,2017-01,7.0
claro,quantidade de reabertas,SEAC,2017-01,305.0
net,quantidade de reabertas,SEAC,2017-01,810.0
oi,quantidade de reabertas,SEAC,2017-01,517.0
sky,quantidade de reabertas,SEAC,2017-01,1014.0
vivo,quantidade de reabertas,SEAC,2017-01,178.0
algar,quantidade de reclamações,SEAC,2017-01,69.0
claro,quantidade de reclamações,SEAC,2017-01,6723.0
net,quantidade de reclamações,SEAC,2017-01,13391.0
oi,quantidade de reclamações,SEAC,2017-01,4889.0
sky,quantidade de reclamações,SEAC,2017-01,12792.0
vivo,quantidade de reclamações,SEAC,2017-01,2962.0
algar,quantidade de reclamações no período,SEAC,2017-01,163.0
claro,quantidade de reclamações no período,SEAC,2017-01,18290.0
net,quantidade de reclamações no período,SEAC,2017-01,35642.0
oi,quantidade de reclamações no período,SEAC,2017-01,13507.0
sky,quantidade de reclamações no período,SEAC,2017-01,35412.0
vivo,quantidade de reclamações no período,SEAC,2017-01,7354.0
algar,quantidade de respondidas,SEAC,2017-01,69.0
claro,quantidade de respondidas,SEAC,2017-01,6668.0
net,quantidade de respondidas,SEAC,2017-01,13383.0
oi,quantidade de respondidas,SEAC,2017-01,4822.0
sky,quantidade de respondidas,SEAC,2017-01,12771.0
vivo,quantidade de respondidas,SEAC,2017-01,2958.0
algar,quantidade de sol. respondidas em até 5 dias,SEAC,2017-01,55.0
claro,quantidade de sol. respondidas em até 5 dias,SEAC,2017-01,5990.0
net,quantidade de sol. respondidas em até 5 dias,SEAC,2017-01,11587.0
oi,quantidade de sol. respondidas em até 5 dias,SEAC,2017-01,4052.0
sky,quantidade de sol. respondidas em até 5 dias,SEAC,2017-01,11001.0
vivo,quantidade de sol. respondidas em até 5 dias,SEAC,2017-01,2602.0
algar,quantidade de sol. respondidas no período,SEAC,2017-01,163.0
claro,quantidade de sol. respondidas no período,SEAC,2017-01,18267.0
net,quantidade de sol. respondidas no período,SEAC,2017-01,35641.0
oi,quantidade de sol. respondidas no período,SEAC,2017-01,13472.0
sky,quantidade de sol. respondidas no período,SEAC,2017-01,35409.0
vivo,quantidade de sol. respondidas no período,SEAC,2017-01,7347.0
algar,taxa de reabertas,SEAC,2017-01,10.145
claro,taxa de reabertas,SEAC,2017-01,4.574
net,taxa de reabertas,SEAC,2017-01,6.052
oi,taxa de reabertas,SEAC,2017-01,10.722
sky,taxa de reabertas,SEAC,2017-01,7.94
vivo,taxa de reabertas,SEAC,2017-01,6.018
algar,taxa de respondidas em 5 dias úteis,SEAC,2017-01,79.71
claro,taxa de respondidas em 5 dias úteis,SEAC,2017-01,89.097
net,taxa de respondidas em 5 dias úteis,SEAC,2017-01,86.528
oi,taxa de respondidas em 5 dias úteis,SEAC,2017-01,82.88
sky,taxa de respondidas em 5 dias úteis,SEAC,2017-01,85.999
